position,income_group,attribute,n_cases,mean_activation_strength,ci95,mean_normalized_confidence,socioeco_layer_accuracy,socioeco_majority_accuracy
after_occupation,low,socioeco,5,0.38580892986206894,0.01489502314641861,0.5905392865517242,0.19310344827586207,0.0
after_occupation,low,education,5,0.4604443676551724,0.01613477256233275,0.6402962452413793,,
after_occupation,low,gender,5,0.5093108009655173,0.036730254475799355,0.7546554010344828,,
after_occupation,low,age,5,0.35861191131034487,0.01746820134231567,0.5189589330344828,,
final_prompt,low,socioeco,2470,0.3874069982250454,0.0009005670163150642,0.5916046654976964,0.15536786262739075,0.0012145748987854252
final_prompt,low,education,2470,0.4684431064223091,0.001252258600562749,0.6456287374852716,,
final_prompt,low,gender,2470,0.5408075780323888,0.0011552282791207206,0.7704037891812089,,
final_prompt,low,age,2470,0.38740960104788497,0.0008798508903994503,0.5405572006956582,,
after_occupation,high,socioeco,5,0.36765824979310346,0.006033682236055978,0.5784388333103448,0.4275862068965518,0.6
after_occupation,high,education,5,0.44703522027586207,0.014293655102258293,0.6313568131724138,,
after_occupation,high,gender,5,0.5418164863448276,0.020072885442277057,0.7709082433103448,,
after_occupation,high,age,5,0.36997472275862064,0.011116072487268222,0.527481041586207,,
final_prompt,high,socioeco,2470,0.38925842050244314,0.0009253809342054284,0.5928389469937176,0.3083344967192517,0.004858299595141701
final_prompt,high,education,2470,0.47106213608725395,0.0012364358031517642,0.6473747572800502,,
final_prompt,high,gender,2470,0.5399042110436968,0.0011704506036102433,0.7699521056800224,,
final_prompt,high,age,2470,0.3903168665099818,0.0008893455150919946,0.5427376498151613,,
