model,magnitude,macro_mean_distance,split
qwen,0.0,0.7395342647370917,tuning
qwen,2.0,0.7412436162592626,tuning
qwen,4.0,0.7432098308664078,tuning
qwen,6.0,0.7443566784959064,tuning
qwen,8.0,0.7439121053823199,tuning
qwen,10.0,0.7422516399184614,tuning
qwen,12.0,0.7377723837310541,tuning
qwen,14.0,0.731624336080809,tuning
qwen,16.0,0.7251426743066796,tuning
qwen,18.0,0.7177334418997974,tuning
qwen,20.0,0.7032112432770916,tuning
qwen,0.0,0.7374262935608169,evaluation
qwen,2.0,0.7364547318877004,evaluation
qwen,4.0,0.7339495103479909,evaluation
qwen,6.0,0.7333969875943983,evaluation
qwen,8.0,0.7325564959733522,evaluation
qwen,10.0,0.730144503871777,evaluation
qwen,12.0,0.7251329423732128,evaluation
qwen,14.0,0.7173770205270942,evaluation
qwen,16.0,0.7070527035331216,evaluation
qwen,18.0,0.6932261021761024,evaluation
qwen,20.0,0.6757128902912213,evaluation
llama,0.0,0.6326296454278008,tuning
llama,2.0,0.6404280486617416,tuning
llama,4.0,0.6393483430796862,tuning
llama,6.0,0.6217136728869311,tuning
llama,8.0,0.5923979870000882,tuning
llama,10.0,0.5624526653425393,tuning
llama,12.0,0.5440259981037706,tuning
llama,14.0,0.5348814787944743,tuning
llama,16.0,0.5282954066414388,tuning
llama,18.0,0.5222439211066147,tuning
llama,20.0,0.5169258263056703,tuning
llama,0.0,0.6082238399360735,evaluation
llama,2.0,0.6140810668705667,evaluation
llama,4.0,0.611085932646852,evaluation
llama,6.0,0.5943418897064634,evaluation
llama,8.0,0.5725574476166997,evaluation
llama,10.0,0.5472148099993688,evaluation
llama,12.0,0.5308789785145822,evaluation
llama,14.0,0.5230059771936705,evaluation
llama,16.0,0.5157749157956099,evaluation
llama,18.0,0.5085883314289512,evaluation
llama,20.0,0.5015254834814931,evaluation
mistral,0.0,0.6811569713327524,tuning
mistral,2.0,0.40311864951674714,tuning
mistral,4.0,0.4433048474007344,tuning
mistral,6.0,0.46422195295940827,tuning
mistral,8.0,0.4756424418480304,tuning
mistral,10.0,0.48155673257892845,tuning
mistral,12.0,0.4865154292351562,tuning
mistral,14.0,0.4896830191393198,tuning
mistral,16.0,0.4924321835655494,tuning
mistral,18.0,0.4942628835311337,tuning
mistral,20.0,0.49540197502262034,tuning
mistral,0.0,0.6351675047223272,evaluation
mistral,2.0,0.3787182820580249,evaluation
mistral,4.0,0.41953605089491586,evaluation
mistral,6.0,0.4393568885473379,evaluation
mistral,8.0,0.4503133075314866,evaluation
mistral,10.0,0.4560195412050686,evaluation
mistral,12.0,0.4607214321119062,evaluation
mistral,14.0,0.4636493013645253,evaluation
mistral,16.0,0.46626015222078016,evaluation
mistral,18.0,0.46789642723954555,evaluation
mistral,20.0,0.4691432207795174,evaluation
