model,attribute,selected_magnitude,n_questions,neutral_distance,declared_distance,steered_distance,declared_minus_neutral,steered_minus_neutral
qwen,gender,20.0,243,0.7329729300799269,0.7225526681379609,0.6670562626839778,-0.010420261941965991,-0.06591666739594915
qwen,age,20.0,241,0.7339022163905078,0.7076182633048965,0.64426084737566,-0.026283953085611267,-0.08964136901484776
qwen,education,20.0,243,0.7485608209771021,0.7251438080182193,0.6730066883254417,-0.023417012958882766,-0.07555413265166033
qwen,socioeco,20.0,243,0.7342692067957307,0.7092050262263326,0.7185277627798058,-0.025064180569398076,-0.01574144401592492
llama,gender,20.0,243,0.604149039849138,0.6595290551616345,0.4513839573282911,0.05538001531249648,-0.15276508252084692
llama,age,20.0,241,0.6113065082741284,0.6242676956000933,0.5081598469641939,0.012961187325964962,-0.10314666130993444
llama,education,20.0,243,0.6096850980091321,0.6871849079801986,0.481001672442206,0.07749980997106654,-0.12868342556692608
llama,socioeco,20.0,243,0.6077547136118957,0.6147364883150683,0.5655564571912813,0.006981774703172627,-0.042198256420614366
mistral,gender,2.0,243,0.6344493892135561,0.6618874739414314,0.37773918767855885,0.027438084727875345,-0.25671020153499724
mistral,age,2.0,241,0.6359834683561779,0.6498401365169432,0.3890618516991792,0.013856668160765251,-0.24692161665699874
mistral,education,2.0,243,0.6403922072953585,0.6752104383630869,0.4232840212016561,0.03481823106772841,-0.21710818609370242
mistral,socioeco,2.0,243,0.6298449540242161,0.6612575167549988,0.3247880676527054,0.031412562730782634,-0.30505688637151074
