qkey,split,seed,tuning_fraction
AUTOLKLY_W41,tuning,42,0.5
AUTOWKPLC_W41,evaluation,42,0.5
BENEFITGOV_W49,tuning,42,0.5
BETTERBIZ1F2D_W36,tuning,42,0.5
BETTERBIZ1F2E_W36,evaluation,42,0.5
BETTERBIZ1F2H_W36,evaluation,42,0.5
BETTERBIZ2F2C_W36,evaluation,42,0.5
BETTERBIZ2F2E_W36,evaluation,42,0.5
BETTERBIZ2F2F_W36,tuning,42,0.5
BETTERPOL1F1B_W36,evaluation,42,0.5
BETTERPOL1F1E_W36,evaluation,42,0.5
BETTERPOL1F1I_W36,evaluation,42,0.5
BETTERPOL2F1A_W36,tuning,42,0.5
BETTERPOL2F1C_W36,evaluation,42,0.5
BETTERPOL2F1D_W36,evaluation,42,0.5
BETTERPOL2F1F_W36,evaluation,42,0.5
BILLION_W92,evaluation,42,0.5
BOYSF1B_W29,evaluation,42,0.5
CANDEXP_W92,evaluation,42,0.5
CARRYGUN_W26,tuning,42,0.5
CLASS_W32,tuning,42,0.5
COHABDUR_W50,evaluation,42,0.5
COMMIMPA_W32,evaluation,42,0.5
COMMIMPB_W32,evaluation,42,0.5
COMMIMPC_W32,tuning,42,0.5
COMMIMPF_W32,evaluation,42,0.5
COMMIMPG_W32,tuning,42,0.5
COMMIMPH_W32,tuning,42,0.5
COMMYRS_W32,evaluation,42,0.5
CONCERNCO_W49,tuning,42,0.5
CONCERNGRPa_W49,evaluation,42,0.5
CONCERNGRPc_W49,evaluation,42,0.5
CONFb_W42,evaluation,42,0.5
CONFc_W42,tuning,42,0.5
CONFe_W42,evaluation,42,0.5
CONFg_W42,evaluation,42,0.5
CONTROLCO_W49,evaluation,42,0.5
CONTROLGRPc_W49,evaluation,42,0.5
DATAUSEd_W49,tuning,42,0.5
DNA2b_W50,evaluation,42,0.5
DNA5_W50,tuning,42,0.5
E5MOD_W50,evaluation,42,0.5
E5_W36,evaluation,42,0.5
EAT1_W34,evaluation,42,0.5
EAT2_W34,tuning,42,0.5
EAT5B_W34,tuning,42,0.5
EAT5C_W34,tuning,42,0.5
EAT5D_W34,tuning,42,0.5
ECIMPg_W54,evaluation,42,0.5
ECON1_W54,evaluation,42,0.5
ECON3_d_W54,tuning,42,0.5
ECON4_a_W54,tuning,42,0.5
ECON4_b_W54,evaluation,42,0.5
ECON4_e_W54,tuning,42,0.5
ECON4_f_W54,evaluation,42,0.5
ECON4_g_W54,tuning,42,0.5
ECON5_b_W54,tuning,42,0.5
ECON5_c_W54,evaluation,42,0.5
ECON5_d_W54,tuning,42,0.5
ECON5_e_W54,evaluation,42,0.5
ECON5_f_W54,tuning,42,0.5
ECON5_g_W54,tuning,42,0.5
ECON5_h_W54,tuning,42,0.5
ECON5_i_W54,evaluation,42,0.5
ECON5_j_W54,tuning,42,0.5
ECON5_k_W54,evaluation,42,0.5
ELECT_CONF3_PRVFR_W92,evaluation,42,0.5
ELECT_CONF3_PRVSUP_W92,evaluation,42,0.5
ELECT_IMPT3_PRVFR_W92,tuning,42,0.5
ESSENBIZF2E_W36,evaluation,42,0.5
ESSENBIZF2J_W36,evaluation,42,0.5
ESSENPOLF1A_W36,evaluation,42,0.5
ESSENPOLF1B_W36,tuning,42,0.5
ESSENPOLF1D_W36,tuning,42,0.5
ESSENPOLF1G_W36,evaluation,42,0.5
ESSENPOLF1H_W36,evaluation,42,0.5
ETHNCMAJMOD_W41,evaluation,42,0.5
ETHNCMAJ_W32,tuning,42,0.5
EVOBIOA_W34,evaluation,42,0.5
EVOBIOB_W34,tuning,42,0.5
EVOPERS3_W34,tuning,42,0.5
EVOTHREE_W34,evaluation,42,0.5
FACE3c_W49,tuning,42,0.5
FAMSURV10c_W50,tuning,42,0.5
FAMSURV16_W50,evaluation,42,0.5
FAMSURV1_W50,evaluation,42,0.5
FAMSURV20_W50,tuning,42,0.5
FAMSURV23b_W50,evaluation,42,0.5
FAMSURV23c_W50,evaluation,42,0.5
FAMSURV23d_W50,tuning,42,0.5
FAMSURV23e_W50,evaluation,42,0.5
FAMSURV23f_W50,tuning,42,0.5
FAMSURV23g_W50,evaluation,42,0.5
FAMSURV26a_W50,evaluation,42,0.5
FAMSURV26b_W50,evaluation,42,0.5
FAMSURV26c_W50,evaluation,42,0.5
FAMSURV26d_W50,tuning,42,0.5
FAMSURV29_W50,evaluation,42,0.5
FAMSURV2Ma_W50,tuning,42,0.5
FAMSURV2Mc_W50,evaluation,42,0.5
FAMSURV2Wa_W50,tuning,42,0.5
FAMSURV2Wc_W50,tuning,42,0.5
FAMSURV32e_W50,evaluation,42,0.5
FAMSURV39_W50,evaluation,42,0.5
FAMSURV3_W50,tuning,42,0.5
FAMSURV40_W50,evaluation,42,0.5
FAMSURV43_W50,evaluation,42,0.5
FAMSURV44_W50,tuning,42,0.5
FAMSURV6_W50,evaluation,42,0.5
FAMSURV9c_W50,evaluation,42,0.5
FATHER_W50,evaluation,42,0.5
FAVORS_CPS_W29,evaluation,42,0.5
FEM2_W29,evaluation,42,0.5
FIN_SIT_W54,evaluation,42,0.5
FREECOLL_W92,evaluation,42,0.5
FTRWORRYc_W41,tuning,42,0.5
FTRWORRYe_W41,evaluation,42,0.5
FTRWORRYf_W41,evaluation,42,0.5
FUD22_W34,tuning,42,0.5
FUD24_W34,tuning,42,0.5
FUD33B_W34,tuning,42,0.5
FUD35_W34,evaluation,42,0.5
FUD37A_W34,evaluation,42,0.5
FUD37B_W34,evaluation,42,0.5
FUD37C_W34,tuning,42,0.5
FUTRCLASSb_W41,evaluation,42,0.5
FUTRCLASSc_W41,tuning,42,0.5
FUTR_DIV_W41,tuning,42,0.5
GAP21Q10_W82,evaluation,42,0.5
GAP21Q13_b_W82,evaluation,42,0.5
GAP21Q15_a_W82,evaluation,42,0.5
GAP21Q15_b_W82,tuning,42,0.5
GAP21Q15_c_W82,tuning,42,0.5
GAP21Q15_d_W82,tuning,42,0.5
GAP21Q15_e_W82,tuning,42,0.5
GAP21Q15_f_W82,tuning,42,0.5
GAP21Q17_W82,evaluation,42,0.5
GAP21Q19_a_W82,evaluation,42,0.5
GAP21Q19_b_W82,tuning,42,0.5
GAP21Q19_c_W82,evaluation,42,0.5
GAP21Q19_d_W82,tuning,42,0.5
GAP21Q19_e_W82,evaluation,42,0.5
GAP21Q21_a_W82,evaluation,42,0.5
GAP21Q21_e_W82,tuning,42,0.5
GAP21Q23_W82,tuning,42,0.5
GAP21Q24_W82,tuning,42,0.5
GAP21Q25_W82,tuning,42,0.5
GAP21Q26_a_W82,tuning,42,0.5
GAP21Q26_b_W82,tuning,42,0.5
GAP21Q26_c_W82,evaluation,42,0.5
GAP21Q27_W82,tuning,42,0.5
GAP21Q28_W82,tuning,42,0.5
GAP21Q31_W82,tuning,42,0.5
GAP21Q32_W82,evaluation,42,0.5
GAP21Q33_c_W82,tuning,42,0.5
GAP21Q33_g_W82,evaluation,42,0.5
GAP21Q33_i_W82,tuning,42,0.5
GAP21Q33_j_W82,evaluation,42,0.5
GAP21Q33_m_W82,evaluation,42,0.5
GAP21Q33_n_W82,tuning,42,0.5
GAP21Q33_q_W82,evaluation,42,0.5
GAP21Q33_r_W82,evaluation,42,0.5
GAP21Q33_s_W82,tuning,42,0.5
GAP21Q34_a_W82,evaluation,42,0.5
GAP21Q34_b_W82,tuning,42,0.5
GAP21Q34_c_W82,evaluation,42,0.5
GAP21Q34_d_W82,tuning,42,0.5
GAP21Q34_e_W82,evaluation,42,0.5
GAP21Q34_f_W82,tuning,42,0.5
GAP21Q38_a_W82,evaluation,42,0.5
GAP21Q38_b_W82,evaluation,42,0.5
GAP21Q38_c_W82,tuning,42,0.5
GAP21Q41_W82,tuning,42,0.5
GAP21Q43_g_W82,evaluation,42,0.5
GAP21Q47_W82,tuning,42,0.5
GAP21Q4_a_W82,evaluation,42,0.5
GAP21Q4_b_W82,tuning,42,0.5
GAP21Q4_c_W82,evaluation,42,0.5
GAP21Q4_d_W82,tuning,42,0.5
GAP21Q4_e_W82,tuning,42,0.5
GAP21Q4_f_W82,tuning,42,0.5
GAP21Q7_a_W82,evaluation,42,0.5
GAP21Q7_b_W82,evaluation,42,0.5
GAP21Q7_d_W82,tuning,42,0.5
GAYMARR2_W32,tuning,42,0.5
GIRLSF2C_W29,tuning,42,0.5
GIRLSF2D_W29,evaluation,42,0.5
GODMORALIMP_W92,evaluation,42,0.5
GOPDIRCT_W29,evaluation,42,0.5
GOVPRIORITYb_W54,evaluation,42,0.5
GOVPRIORITYc_W54,evaluation,42,0.5
GOVPRIORITYd_W54,tuning,42,0.5
GOVPRIORITYf_W54,tuning,42,0.5
GOVPRIOb_W41,tuning,42,0.5
GOVPRIOc_W41,evaluation,42,0.5
GOVPRIOe_W41,evaluation,42,0.5
GOVPRIOfF1_W41,tuning,42,0.5
GOVPRIOgF1_W41,tuning,42,0.5
