qkey,attribute,channel,class_label,magnitude,human_attribute,human_group,wasserstein
CARRYGUN_W26,gender,declared,male,,SEX,Male,0.69246438
CARRYGUN_W26,gender,steered,male,0.0,SEX,Male,0.6352443321485836
CARRYGUN_W26,gender,steered,male,2.0,SEX,Male,0.3936027926034771
CARRYGUN_W26,gender,steered,male,4.0,SEX,Male,0.5416056867905885
CARRYGUN_W26,gender,steered,male,6.0,SEX,Male,0.8947026961258926
CARRYGUN_W26,gender,steered,male,8.0,SEX,Male,0.8533031088111828
CARRYGUN_W26,gender,steered,male,10.0,SEX,Male,0.4617157704187628
CARRYGUN_W26,gender,steered,male,12.0,SEX,Male,0.32129065000000007
CARRYGUN_W26,gender,steered,male,14.0,SEX,Male,0.2858708580438105
CARRYGUN_W26,gender,steered,male,16.0,SEX,Male,0.2783903682682251
CARRYGUN_W26,gender,steered,male,18.0,SEX,Male,0.28382128
CARRYGUN_W26,gender,steered,male,20.0,SEX,Male,0.29640929151489503
CARRYGUN_W26,gender,declared,female,,SEX,Female,0.3511128797923859
CARRYGUN_W26,gender,steered,female,0.0,SEX,Female,0.514781611222108
CARRYGUN_W26,gender,steered,female,2.0,SEX,Female,0.5026344792829356
CARRYGUN_W26,gender,steered,female,4.0,SEX,Female,0.6442911727490385
CARRYGUN_W26,gender,steered,female,6.0,SEX,Female,0.6685419890735245
CARRYGUN_W26,gender,steered,female,8.0,SEX,Female,0.5276275004652727
CARRYGUN_W26,gender,steered,female,10.0,SEX,Female,0.22872661313089585
CARRYGUN_W26,gender,steered,female,12.0,SEX,Female,0.24530345437785048
CARRYGUN_W26,gender,steered,female,14.0,SEX,Female,0.45695504821262517
CARRYGUN_W26,gender,steered,female,16.0,SEX,Female,0.5512115646833957
CARRYGUN_W26,gender,steered,female,18.0,SEX,Female,0.5557345740808262
CARRYGUN_W26,gender,steered,female,20.0,SEX,Female,0.5167950766850005
CARRYGUN_W26,age,declared,adult,,AGE,30-49,0.3577167092826239
CARRYGUN_W26,age,steered,adult,0.0,AGE,30-49,0.5170512760417739
CARRYGUN_W26,age,steered,adult,2.0,AGE,30-49,0.6324431699999999
CARRYGUN_W26,age,steered,adult,4.0,AGE,30-49,0.6701050153981271
CARRYGUN_W26,age,steered,adult,6.0,AGE,30-49,0.6783493822264769
CARRYGUN_W26,age,steered,adult,8.0,AGE,30-49,0.680628813222096
CARRYGUN_W26,age,steered,adult,10.0,AGE,30-49,0.6380619347412971
CARRYGUN_W26,age,steered,adult,12.0,AGE,30-49,0.50458987
CARRYGUN_W26,age,steered,adult,14.0,AGE,30-49,0.27847432
CARRYGUN_W26,age,steered,adult,16.0,AGE,30-49,0.1307144518945379
CARRYGUN_W26,age,steered,adult,18.0,AGE,30-49,0.15761501882775786
CARRYGUN_W26,age,steered,adult,20.0,AGE,30-49,0.2819939645102687
CARRYGUN_W26,age,declared,older_adult,,AGE,65+,0.24370390964646393
CARRYGUN_W26,age,steered,older_adult,0.0,AGE,65+,0.4568726660417739
CARRYGUN_W26,age,steered,older_adult,2.0,AGE,65+,0.361716268792031
CARRYGUN_W26,age,steered,older_adult,4.0,AGE,65+,0.30897456496878717
CARRYGUN_W26,age,steered,older_adult,6.0,AGE,65+,0.6325361485815741
CARRYGUN_W26,age,steered,older_adult,8.0,AGE,65+,0.63036102
CARRYGUN_W26,age,steered,older_adult,10.0,AGE,65+,0.5124528888231774
CARRYGUN_W26,age,steered,older_adult,12.0,AGE,65+,0.5707157276232231
CARRYGUN_W26,age,steered,older_adult,14.0,AGE,65+,0.7394368611147073
CARRYGUN_W26,age,steered,older_adult,16.0,AGE,65+,0.8721536475380863
CARRYGUN_W26,age,steered,older_adult,18.0,AGE,65+,0.9211438900000002
CARRYGUN_W26,age,steered,older_adult,20.0,AGE,65+,0.9389229671344965
CARRYGUN_W26,education,declared,some schooling,,EDUCATION,Less than high school,1.1751811597285846
CARRYGUN_W26,education,steered,some schooling,0.0,EDUCATION,Less than high school,1.1880386421485836
CARRYGUN_W26,education,steered,some schooling,2.0,EDUCATION,Less than high school,1.0649177854707506
CARRYGUN_W26,education,steered,some schooling,4.0,EDUCATION,Less than high school,0.7705487967957796
CARRYGUN_W26,education,steered,some schooling,6.0,EDUCATION,Less than high school,0.5732469600000002
CARRYGUN_W26,education,steered,some schooling,8.0,EDUCATION,Less than high school,0.5026350677910063
CARRYGUN_W26,education,steered,some schooling,10.0,EDUCATION,Less than high school,0.4560204496295197
CARRYGUN_W26,education,steered,some schooling,12.0,EDUCATION,Less than high school,0.45080617297658
CARRYGUN_W26,education,steered,some schooling,14.0,EDUCATION,Less than high school,0.4036742700000001
CARRYGUN_W26,education,steered,some schooling,16.0,EDUCATION,Less than high school,0.3659003664412734
CARRYGUN_W26,education,steered,some schooling,18.0,EDUCATION,Less than high school,0.3808364380136183
CARRYGUN_W26,education,steered,some schooling,20.0,EDUCATION,Less than high school,0.3986114854599395
CARRYGUN_W26,education,declared,high school,,EDUCATION,High school graduate,0.6311898485879719
CARRYGUN_W26,education,steered,high school,0.0,EDUCATION,High school graduate,0.5484185521485834
CARRYGUN_W26,education,steered,high school,2.0,EDUCATION,High school graduate,0.5391291041116165
CARRYGUN_W26,education,steered,high school,4.0,EDUCATION,High school graduate,0.49964527000000003
CARRYGUN_W26,education,steered,high school,6.0,EDUCATION,High school graduate,0.30053372274067164
CARRYGUN_W26,education,steered,high school,8.0,EDUCATION,High school graduate,0.29425223
CARRYGUN_W26,education,steered,high school,10.0,EDUCATION,High school graduate,0.5917252940185599
CARRYGUN_W26,education,steered,high school,12.0,EDUCATION,High school graduate,0.8935899516542068
CARRYGUN_W26,education,steered,high school,14.0,EDUCATION,High school graduate,1.087064991963806
CARRYGUN_W26,education,steered,high school,16.0,EDUCATION,High school graduate,1.1829190825654923
CARRYGUN_W26,education,steered,high school,18.0,EDUCATION,High school graduate,1.2292057285097555
CARRYGUN_W26,education,steered,high school,20.0,EDUCATION,High school graduate,1.2410891136415696
CARRYGUN_W26,education,declared,college and more,,EDUCATION,College graduate/some postgrad,0.40635460484544356
CARRYGUN_W26,education,steered,college and more,0.0,EDUCATION,College graduate/some postgrad,0.5251863221485835
CARRYGUN_W26,education,steered,college and more,2.0,EDUCATION,College graduate/some postgrad,0.6149491769719203
CARRYGUN_W26,education,steered,college and more,4.0,EDUCATION,College graduate/some postgrad,0.5723163
CARRYGUN_W26,education,steered,college and more,6.0,EDUCATION,College graduate/some postgrad,0.4022048757776137
CARRYGUN_W26,education,steered,college and more,8.0,EDUCATION,College graduate/some postgrad,0.22235942000000003
CARRYGUN_W26,education,steered,college and more,10.0,EDUCATION,College graduate/some postgrad,0.24465576336742745
CARRYGUN_W26,education,steered,college and more,12.0,EDUCATION,College graduate/some postgrad,0.43645088574756075
CARRYGUN_W26,education,steered,college and more,14.0,EDUCATION,College graduate/some postgrad,0.5445507451073325
CARRYGUN_W26,education,steered,college and more,16.0,EDUCATION,College graduate/some postgrad,0.5795606042640253
CARRYGUN_W26,education,steered,college and more,18.0,EDUCATION,College graduate/some postgrad,0.5753574702183076
CARRYGUN_W26,education,steered,college and more,20.0,EDUCATION,College graduate/some postgrad,0.5582584226549654
CARRYGUN_W26,socioeco,declared,low,,INCOME,"Less than $30,000",0.4259758700472522
CARRYGUN_W26,socioeco,steered,low,0.0,INCOME,"Less than $30,000",0.562185436041774
CARRYGUN_W26,socioeco,steered,low,2.0,INCOME,"Less than $30,000",0.5088868674879012
CARRYGUN_W26,socioeco,steered,low,4.0,INCOME,"Less than $30,000",0.46094843700851695
CARRYGUN_W26,socioeco,steered,low,6.0,INCOME,"Less than $30,000",0.48247929334295325
CARRYGUN_W26,socioeco,steered,low,8.0,INCOME,"Less than $30,000",0.5733694587963631
CARRYGUN_W26,socioeco,steered,low,10.0,INCOME,"Less than $30,000",0.6273727028187266
CARRYGUN_W26,socioeco,steered,low,12.0,INCOME,"Less than $30,000",0.60186885
CARRYGUN_W26,socioeco,steered,low,14.0,INCOME,"Less than $30,000",0.5131315425910441
CARRYGUN_W26,socioeco,steered,low,16.0,INCOME,"Less than $30,000",0.5638050268823962
CARRYGUN_W26,socioeco,steered,low,18.0,INCOME,"Less than $30,000",0.7159055223571783
CARRYGUN_W26,socioeco,steered,low,20.0,INCOME,"Less than $30,000",0.9865302470077253
CARRYGUN_W26,socioeco,declared,high,,INCOME,"$100,000 or more",0.780505238934226
CARRYGUN_W26,socioeco,steered,high,0.0,INCOME,"$100,000 or more",0.8092498921485833
CARRYGUN_W26,socioeco,steered,high,2.0,INCOME,"$100,000 or more",0.7231644295731257
CARRYGUN_W26,socioeco,steered,high,4.0,INCOME,"$100,000 or more",0.5243274629002697
CARRYGUN_W26,socioeco,steered,high,6.0,INCOME,"$100,000 or more",0.46544483999999997
CARRYGUN_W26,socioeco,steered,high,8.0,INCOME,"$100,000 or more",0.4458085080410989
CARRYGUN_W26,socioeco,steered,high,10.0,INCOME,"$100,000 or more",0.3206967828674362
CARRYGUN_W26,socioeco,steered,high,12.0,INCOME,"$100,000 or more",0.23488036085978384
CARRYGUN_W26,socioeco,steered,high,14.0,INCOME,"$100,000 or more",0.19270339925018806
