qkey,attribute,channel,class_label,magnitude,human_attribute,human_group,wasserstein
CARRYGUN_W26,gender,declared,male,,SEX,Male,1.02775715999594
CARRYGUN_W26,gender,steered,male,0.0,SEX,Male,1.0277401199992497
CARRYGUN_W26,gender,steered,male,2.0,SEX,Male,0.7494155811384631
CARRYGUN_W26,gender,steered,male,4.0,SEX,Male,0.6746726659502436
CARRYGUN_W26,gender,steered,male,6.0,SEX,Male,0.64220727
CARRYGUN_W26,gender,steered,male,8.0,SEX,Male,0.627003962740956
CARRYGUN_W26,gender,steered,male,10.0,SEX,Male,0.6219543124884737
CARRYGUN_W26,gender,steered,male,12.0,SEX,Male,0.6142634449455022
CARRYGUN_W26,gender,steered,male,14.0,SEX,Male,0.6159911550664423
CARRYGUN_W26,gender,steered,male,16.0,SEX,Male,0.6143446635784018
CARRYGUN_W26,gender,steered,male,18.0,SEX,Male,0.6148229507208569
CARRYGUN_W26,gender,steered,male,20.0,SEX,Male,0.6113863636079848
CARRYGUN_W26,gender,declared,female,,SEX,Female,0.9073070090748875
CARRYGUN_W26,gender,steered,female,0.0,SEX,Female,0.907277399072774
CARRYGUN_W26,gender,steered,female,2.0,SEX,Female,0.26546677408540204
CARRYGUN_W26,gender,steered,female,4.0,SEX,Female,0.2101326334167061
CARRYGUN_W26,gender,steered,female,6.0,SEX,Female,0.2166506228893761
CARRYGUN_W26,gender,steered,female,8.0,SEX,Female,0.2203431484044568
CARRYGUN_W26,gender,steered,female,10.0,SEX,Female,0.22140972683686191
CARRYGUN_W26,gender,steered,female,12.0,SEX,Female,0.22449131224491323
CARRYGUN_W26,gender,steered,female,14.0,SEX,Female,0.22338758618507273
CARRYGUN_W26,gender,steered,female,16.0,SEX,Female,0.22454805144363663
CARRYGUN_W26,gender,steered,female,18.0,SEX,Female,0.22409667702494843
CARRYGUN_W26,gender,steered,female,20.0,SEX,Female,0.22647132308579007
CARRYGUN_W26,age,declared,adult,,AGE,30-49,0.9009490600009604
CARRYGUN_W26,age,steered,adult,0.0,AGE,30-49,0.9009220399992496
CARRYGUN_W26,age,steered,adult,2.0,AGE,30-49,0.4200381439482388
CARRYGUN_W26,age,steered,adult,4.0,AGE,30-49,0.3373362895333347
CARRYGUN_W26,age,steered,adult,6.0,AGE,30-49,0.30747930625429154
CARRYGUN_W26,age,steered,adult,8.0,AGE,30-49,0.28960967809393245
CARRYGUN_W26,age,steered,adult,10.0,AGE,30-49,0.27917225999999995
CARRYGUN_W26,age,steered,adult,12.0,AGE,30-49,0.27890275999999997
CARRYGUN_W26,age,steered,adult,14.0,AGE,30-49,0.2798442529207784
CARRYGUN_W26,age,steered,adult,16.0,AGE,30-49,0.27792243530001687
CARRYGUN_W26,age,steered,adult,18.0,AGE,30-49,0.2774091911646127
CARRYGUN_W26,age,steered,adult,20.0,AGE,30-49,0.27528719813460395
CARRYGUN_W26,age,declared,older_adult,,AGE,65+,0.8162605499958244
CARRYGUN_W26,age,steered,older_adult,0.0,AGE,65+,0.8162234699992496
CARRYGUN_W26,age,steered,older_adult,2.0,AGE,65+,0.6137114856999002
CARRYGUN_W26,age,steered,older_adult,4.0,AGE,65+,0.7522446372582742
CARRYGUN_W26,age,steered,older_adult,6.0,AGE,65+,0.7834420759974059
CARRYGUN_W26,age,steered,older_adult,8.0,AGE,65+,0.7930475460934606
CARRYGUN_W26,age,steered,older_adult,10.0,AGE,65+,0.7963845183804908
CARRYGUN_W26,age,steered,older_adult,12.0,AGE,65+,0.8003496068346319
CARRYGUN_W26,age,steered,older_adult,14.0,AGE,65+,0.8000542130188364
CARRYGUN_W26,age,steered,older_adult,16.0,AGE,65+,0.8039445124048604
CARRYGUN_W26,age,steered,older_adult,18.0,AGE,65+,0.8031667585839579
CARRYGUN_W26,age,steered,older_adult,20.0,AGE,65+,0.8040512799999999
CARRYGUN_W26,education,declared,some schooling,,EDUCATION,Less than high school,1.5805917499994684
CARRYGUN_W26,education,steered,some schooling,0.0,EDUCATION,Less than high school,1.5805344299992496
CARRYGUN_W26,education,steered,some schooling,2.0,EDUCATION,Less than high school,0.26811485610702623
CARRYGUN_W26,education,steered,some schooling,4.0,EDUCATION,Less than high school,0.25420458165764137
