qkey,attribute,channel,class_label,magnitude,human_attribute,human_group,wasserstein
CARRYGUN_W26,gender,declared,male,,SEX,Male,1.0278146100000054
CARRYGUN_W26,gender,steered,male,0.0,SEX,Male,1.027815020000003
CARRYGUN_W26,gender,steered,male,2.0,SEX,Male,1.0278149499999938
CARRYGUN_W26,gender,steered,male,4.0,SEX,Male,1.0278148099999966
CARRYGUN_W26,gender,steered,male,6.0,SEX,Male,1.0278143100000086
CARRYGUN_W26,gender,steered,male,8.0,SEX,Male,1.0278137399999432
CARRYGUN_W26,gender,steered,male,10.0,SEX,Male,1.02781176
CARRYGUN_W26,gender,steered,male,12.0,SEX,Male,1.0278094599997152
CARRYGUN_W26,gender,steered,male,14.0,SEX,Male,1.027796860000915
CARRYGUN_W26,gender,steered,male,16.0,SEX,Male,1.0277602700010977
CARRYGUN_W26,gender,steered,male,18.0,SEX,Male,1.027623759988516
CARRYGUN_W26,gender,steered,male,20.0,SEX,Male,1.0259383001126117
CARRYGUN_W26,gender,declared,female,,SEX,Female,0.9073510190734677
CARRYGUN_W26,gender,steered,female,0.0,SEX,Female,0.9073522990735274
CARRYGUN_W26,gender,steered,female,2.0,SEX,Female,0.9073523390735226
CARRYGUN_W26,gender,steered,female,4.0,SEX,Female,0.9073523290735235
CARRYGUN_W26,gender,steered,female,6.0,SEX,Female,0.9073523090735259
CARRYGUN_W26,gender,steered,female,8.0,SEX,Female,0.9073523290735235
CARRYGUN_W26,gender,steered,female,10.0,SEX,Female,0.9073522590735299
CARRYGUN_W26,gender,steered,female,12.0,SEX,Female,0.9073521590735246
CARRYGUN_W26,gender,steered,female,14.0,SEX,Female,0.9073519890735291
CARRYGUN_W26,gender,steered,female,16.0,SEX,Female,0.9073516290734598
CARRYGUN_W26,gender,steered,female,18.0,SEX,Female,0.9073503490735036
CARRYGUN_W26,gender,steered,female,20.0,SEX,Female,0.9073463290729746
CARRYGUN_W26,age,declared,adult,,AGE,30-49,0.9009958400000373
CARRYGUN_W26,age,steered,adult,0.0,AGE,30-49,0.9009969400000029
CARRYGUN_W26,age,steered,adult,2.0,AGE,30-49,0.9009969500000014
CARRYGUN_W26,age,steered,adult,4.0,AGE,30-49,0.9009968399999928
CARRYGUN_W26,age,steered,adult,6.0,AGE,30-49,0.90099665
CARRYGUN_W26,age,steered,adult,8.0,AGE,30-49,0.9009958500000739
CARRYGUN_W26,age,steered,adult,10.0,AGE,30-49,0.9009921599998032
CARRYGUN_W26,age,steered,adult,12.0,AGE,30-49,0.9009772100015896
CARRYGUN_W26,age,steered,adult,14.0,AGE,30-49,0.9008640899920206
CARRYGUN_W26,age,steered,adult,16.0,AGE,30-49,0.8992317698940815
CARRYGUN_W26,age,steered,adult,18.0,AGE,30-49,0.8750237010389352
CARRYGUN_W26,age,steered,adult,20.0,AGE,30-49,0.6511903750038659
CARRYGUN_W26,age,declared,older_adult,,AGE,65+,0.8162984399999965
CARRYGUN_W26,age,steered,older_adult,0.0,AGE,65+,0.8162983700000028
CARRYGUN_W26,age,steered,older_adult,2.0,AGE,65+,0.816298340000005
CARRYGUN_W26,age,steered,older_adult,4.0,AGE,65+,0.8162983500000032
CARRYGUN_W26,age,steered,older_adult,6.0,AGE,65+,0.8162982599999925
CARRYGUN_W26,age,steered,older_adult,8.0,AGE,65+,0.8162980899999832
CARRYGUN_W26,age,steered,older_adult,10.0,AGE,65+,0.816297809999993
CARRYGUN_W26,age,steered,older_adult,12.0,AGE,65+,0.8162969000000805
CARRYGUN_W26,age,steered,older_adult,14.0,AGE,65+,0.8162920899996149
CARRYGUN_W26,age,steered,older_adult,16.0,AGE,65+,0.81626091
CARRYGUN_W26,age,steered,older_adult,18.0,AGE,65+,0.815996669969816
CARRYGUN_W26,age,steered,older_adult,20.0,AGE,65+,0.8143552900971609
CARRYGUN_W26,education,declared,some schooling,,EDUCATION,Less than high school,1.5806083099998725
CARRYGUN_W26,education,steered,some schooling,0.0,EDUCATION,Less than high school,1.580609330000003
CARRYGUN_W26,education,steered,some schooling,2.0,EDUCATION,Less than high school,1.5806093400000014
CARRYGUN_W26,education,steered,some schooling,4.0,EDUCATION,Less than high school,1.5806093400000014
CARRYGUN_W26,education,steered,some schooling,6.0,EDUCATION,Less than high school,1.580609259999994
CARRYGUN_W26,education,steered,some schooling,8.0,EDUCATION,Less than high school,1.5806092300000003
CARRYGUN_W26,education,steered,some schooling,10.0,EDUCATION,Less than high school,1.5806090700000042
CARRYGUN_W26,education,steered,some schooling,12.0,EDUCATION,Less than high school,1.5806087299999927
CARRYGUN_W26,education,steered,some schooling,14.0,EDUCATION,Less than high school,1.5806066499998874
CARRYGUN_W26,education,steered,some schooling,16.0,EDUCATION,Less than high school,1.5805919700003501
CARRYGUN_W26,education,steered,some schooling,18.0,EDUCATION,Less than high school,1.5805303400055393
CARRYGUN_W26,education,steered,some schooling,20.0,EDUCATION,Less than high school,1.5800316900000002
CARRYGUN_W26,education,declared,high school,,EDUCATION,High school graduate,0.9409893600000004
CARRYGUN_W26,education,steered,high school,0.0,EDUCATION,High school graduate,0.9409892400000028
CARRYGUN_W26,education,steered,high school,2.0,EDUCATION,High school graduate,0.9409892999999968
CARRYGUN_W26,education,steered,high school,4.0,EDUCATION,High school graduate,0.9409893300000025
CARRYGUN_W26,education,steered,high school,6.0,EDUCATION,High school graduate,0.9409893400000016
CARRYGUN_W26,education,steered,high school,8.0,EDUCATION,High school graduate,0.9409893400000016
CARRYGUN_W26,education,steered,high school,10.0,EDUCATION,High school graduate,0.9409892399999986
CARRYGUN_W26,education,steered,high school,12.0,EDUCATION,High school graduate,0.9409888900000245
CARRYGUN_W26,education,steered,high school,14.0,EDUCATION,High school graduate,0.9409871900000657
CARRYGUN_W26,education,steered,high school,16.0,EDUCATION,High school graduate,0.9409745399991095
CARRYGUN_W26,education,steered,high school,18.0,EDUCATION,High school graduate,0.9407997800189599
CARRYGUN_W26,education,steered,high school,20.0,EDUCATION,High school graduate,0.9381284899141733
CARRYGUN_W26,education,declared,college and more,,EDUCATION,College graduate/some postgrad,0.9177569099999952
CARRYGUN_W26,education,steered,college and more,0.0,EDUCATION,College graduate/some postgrad,0.9177570100000029
CARRYGUN_W26,education,steered,college and more,2.0,EDUCATION,College graduate/some postgrad,0.9177569900000064
CARRYGUN_W26,education,steered,college and more,4.0,EDUCATION,College graduate/some postgrad,0.9177569599999905
CARRYGUN_W26,education,steered,college and more,6.0,EDUCATION,College graduate/some postgrad,0.9177568399999845
CARRYGUN_W26,education,steered,college and more,8.0,EDUCATION,College graduate/some postgrad,0.917756400000015
CARRYGUN_W26,education,steered,college and more,10.0,EDUCATION,College graduate/some postgrad,0.9177547600001434
CARRYGUN_W26,education,steered,college and more,12.0,EDUCATION,College graduate/some postgrad,0.9177477999996261
CARRYGUN_W26,education,steered,college and more,14.0,EDUCATION,College graduate/some postgrad,0.9177040199973435
CARRYGUN_W26,education,steered,college and more,16.0,EDUCATION,College graduate/some postgrad,0.917259649985075
CARRYGUN_W26,education,steered,college and more,18.0,EDUCATION,College graduate/some postgrad,0.9124664495238369
