qkey,channel,magnitude,gender_question,gap
AUTOLKLY_W41,declared,,False,0.00042539002568746945
AUTOLKLY_W41,steered,0.0,False,0.0
AUTOLKLY_W41,steered,2.0,False,0.0009083599035611661
AUTOLKLY_W41,steered,4.0,False,0.002269290031022732
AUTOLKLY_W41,steered,6.0,False,0.003915849872647051
AUTOLKLY_W41,steered,8.0,False,0.010889400225802872
AUTOLKLY_W41,steered,10.0,False,0.018004548918664095
AUTOLKLY_W41,steered,12.0,False,0.029476569993251107
AUTOLKLY_W41,steered,14.0,False,0.043148213904722135
AUTOLKLY_W41,steered,16.0,False,0.05144097687893158
AUTOLKLY_W41,steered,18.0,False,0.046057157639435034
AUTOLKLY_W41,steered,20.0,False,0.08325000417037264
AUTOWKPLC_W41,declared,,False,0.0
AUTOWKPLC_W41,steered,0.0,False,0.0
AUTOWKPLC_W41,steered,2.0,False,5.3414999571199995e-05
AUTOWKPLC_W41,steered,4.0,False,0.0001933199918620003
AUTOWKPLC_W41,steered,6.0,False,0.00042588998286860073
AUTOWKPLC_W41,steered,8.0,False,0.001167605035231151
AUTOWKPLC_W41,steered,10.0,False,0.0019318049226374032
AUTOWKPLC_W41,steered,12.0,False,0.0041565502079405105
AUTOWKPLC_W41,steered,14.0,False,0.0050565596458826256
AUTOWKPLC_W41,steered,16.0,False,0.006880865068791001
AUTOWKPLC_W41,steered,18.0,False,0.009771765293266458
AUTOWKPLC_W41,steered,20.0,False,0.013851264861454202
BENEFITGOV_W49,declared,,False,2.999999933922531e-08
BENEFITGOV_W49,steered,0.0,False,0.0
BENEFITGOV_W49,steered,2.0,False,9.999999900000002e-09
BENEFITGOV_W49,steered,4.0,False,9.99999970615838e-09
BENEFITGOV_W49,steered,6.0,False,9.999999511022329e-09
BENEFITGOV_W49,steered,8.0,False,5.999999997635672e-08
BENEFITGOV_W49,steered,10.0,False,1.9000000757382253e-07
BENEFITGOV_W49,steered,12.0,False,9.800000105784155e-07
BENEFITGOV_W49,steered,14.0,False,5.259999524897153e-06
BENEFITGOV_W49,steered,16.0,False,3.6489999268106455e-05
BENEFITGOV_W49,steered,18.0,False,0.00025877999570554985
BENEFITGOV_W49,steered,20.0,False,0.0006361299839223139
BETTERBIZ1F2D_W36,declared,,True,0.0
BETTERBIZ1F2D_W36,steered,0.0,True,0.0
BETTERBIZ1F2D_W36,steered,2.0,True,0.0
BETTERBIZ1F2D_W36,steered,4.0,True,0.0
BETTERBIZ1F2D_W36,steered,6.0,True,0.0
BETTERBIZ1F2D_W36,steered,8.0,True,0.0
BETTERBIZ1F2D_W36,steered,10.0,True,1.499999956718069e-08
BETTERBIZ1F2D_W36,steered,12.0,True,2.999999827924989e-08
BETTERBIZ1F2D_W36,steered,14.0,True,1.0999999910804358e-07
BETTERBIZ1F2D_W36,steered,16.0,True,3.550000035177589e-07
BETTERBIZ1F2D_W36,steered,18.0,True,1.7699999290275972e-06
BETTERBIZ1F2D_W36,steered,20.0,True,1.472999837504862e-05
BETTERBIZ1F2E_W36,declared,,True,0.0
BETTERBIZ1F2E_W36,steered,0.0,True,0.0
BETTERBIZ1F2E_W36,steered,2.0,True,0.0
BETTERBIZ1F2E_W36,steered,4.0,True,0.0
BETTERBIZ1F2E_W36,steered,6.0,True,0.0
BETTERBIZ1F2E_W36,steered,8.0,True,9.999999814101496e-09
BETTERBIZ1F2E_W36,steered,10.0,True,1.9999998773091504e-08
BETTERBIZ1F2E_W36,steered,12.0,True,5.499999900730081e-08
BETTERBIZ1F2E_W36,steered,14.0,True,2.2500002926260471e-07
BETTERBIZ1F2E_W36,steered,16.0,True,1.1500001076850058e-06
BETTERBIZ1F2E_W36,steered,18.0,True,8.620000105816416e-06
BETTERBIZ1F2E_W36,steered,20.0,True,8.433000186611737e-05
BETTERBIZ1F2H_W36,declared,,True,0.0
BETTERBIZ1F2H_W36,steered,0.0,True,0.0
BETTERBIZ1F2H_W36,steered,2.0,True,0.0
BETTERBIZ1F2H_W36,steered,4.0,True,0.0
BETTERBIZ1F2H_W36,steered,6.0,True,0.0
BETTERBIZ1F2H_W36,steered,8.0,True,1.499999956718069e-08
BETTERBIZ1F2H_W36,steered,10.0,True,3.499999759375104e-08
BETTERBIZ1F2H_W36,steered,12.0,True,8.999999221551893e-08
BETTERBIZ1F2H_W36,steered,14.0,True,3.250000053040396e-07
BETTERBIZ1F2H_W36,steered,16.0,True,9.150000414574548e-07
BETTERBIZ1F2H_W36,steered,18.0,True,2.434999842220121e-06
BETTERBIZ1F2H_W36,steered,20.0,True,1.0745000861424072e-05
BETTERBIZ2F2C_W36,declared,,True,0.0
BETTERBIZ2F2C_W36,steered,0.0,True,0.0
BETTERBIZ2F2C_W36,steered,2.0,True,0.0
BETTERBIZ2F2C_W36,steered,4.0,True,0.0
BETTERBIZ2F2C_W36,steered,6.0,True,0.0
BETTERBIZ2F2C_W36,steered,8.0,True,0.0
BETTERBIZ2F2C_W36,steered,10.0,True,9.999999814101496e-09
BETTERBIZ2F2C_W36,steered,12.0,True,3.999999676068418e-08
BETTERBIZ2F2C_W36,steered,14.0,True,2.200000088189306e-07
BETTERBIZ2F2C_W36,steered,16.0,True,8.15000008775912e-07
BETTERBIZ2F2C_W36,steered,18.0,True,3.7549998122426845e-06
BETTERBIZ2F2C_W36,steered,20.0,True,1.4189999709593016e-05
BETTERBIZ2F2E_W36,declared,,True,0.0
BETTERBIZ2F2E_W36,steered,0.0,True,0.0
BETTERBIZ2F2E_W36,steered,2.0,True,0.0
BETTERBIZ2F2E_W36,steered,4.0,True,0.0
BETTERBIZ2F2E_W36,steered,6.0,True,0.0
BETTERBIZ2F2E_W36,steered,8.0,True,0.0
BETTERBIZ2F2E_W36,steered,10.0,True,9.999999814101496e-09
BETTERBIZ2F2E_W36,steered,12.0,True,2.999999827924989e-08
BETTERBIZ2F2E_W36,steered,14.0,True,1.30000012970159e-07
BETTERBIZ2F2E_W36,steered,16.0,True,6.050000382650852e-07
BETTERBIZ2F2E_W36,steered,18.0,True,2.1899999588115396e-06
BETTERBIZ2F2E_W36,steered,20.0,True,1.1914999202644881e-05
BETTERBIZ2F2F_W36,declared,,True,0.0
BETTERBIZ2F2F_W36,steered,0.0,True,0.0
BETTERBIZ2F2F_W36,steered,2.0,True,0.0
BETTERBIZ2F2F_W36,steered,4.0,True,0.0
BETTERBIZ2F2F_W36,steered,6.0,True,0.0
BETTERBIZ2F2F_W36,steered,8.0,True,4.999999950000001e-09
BETTERBIZ2F2F_W36,steered,10.0,True,1.499999955859035e-08
BETTERBIZ2F2F_W36,steered,12.0,True,7.000000703732304e-08
BETTERBIZ2F2F_W36,steered,14.0,True,3.0500003103929433e-07
BETTERBIZ2F2F_W36,steered,16.0,True,1.1350000385373751e-06
BETTERBIZ2F2F_W36,steered,18.0,True,5.479999945134274e-06
BETTERBIZ2F2F_W36,steered,20.0,True,2.289000044720579e-05
BETTERPOL1F1B_W36,declared,,True,3.0000001760566164e-08
BETTERPOL1F1B_W36,steered,0.0,True,0.0
BETTERPOL1F1B_W36,steered,2.0,True,4.999999914101494e-09
BETTERPOL1F1B_W36,steered,4.0,True,0.0
BETTERPOL1F1B_W36,steered,6.0,True,4.999999914101494e-09
BETTERPOL1F1B_W36,steered,8.0,True,9.999999108989996e-09
BETTERPOL1F1B_W36,steered,10.0,True,1.9999996008556256e-08
BETTERPOL1F1B_W36,steered,12.0,True,2.000000839200734e-08
BETTERPOL1F1B_W36,steered,14.0,True,5.15000048169354e-07
BETTERPOL1F1B_W36,steered,16.0,True,6.100002191485383e-07
BETTERPOL1F1B_W36,steered,18.0,True,4.991000029483497e-05
BETTERPOL1F1B_W36,steered,20.0,True,0.0005931449835809644
BETTERPOL1F1E_W36,declared,,True,0.0
BETTERPOL1F1E_W36,steered,0.0,True,0.0
BETTERPOL1F1E_W36,steered,2.0,True,0.0
BETTERPOL1F1E_W36,steered,4.0,True,0.0
BETTERPOL1F1E_W36,steered,6.0,True,0.0
BETTERPOL1F1E_W36,steered,8.0,True,9.999999814101496e-09
BETTERPOL1F1E_W36,steered,10.0,True,1.9999998465148398e-08
BETTERPOL1F1E_W36,steered,12.0,True,1.2000001066599858e-07
BETTERPOL1F1E_W36,steered,14.0,True,4.300000187571645e-07
BETTERPOL1F1E_W36,steered,16.0,True,2.3549999340102587e-06
BETTERPOL1F1E_W36,steered,18.0,True,1.6694999263581175e-05
BETTERPOL1F1E_W36,steered,20.0,True,0.0001432350111557158
BETTERPOL1F1I_W36,declared,,True,1.7680000884034985e-05
BETTERPOL1F1I_W36,steered,0.0,True,0.0
BETTERPOL1F1I_W36,steered,2.0,True,4.999999914101494e-09
BETTERPOL1F1I_W36,steered,4.0,True,0.0
BETTERPOL1F1I_W36,steered,6.0,True,4.999999914101494e-09
BETTERPOL1F1I_W36,steered,8.0,True,1.4999999345136086e-08
BETTERPOL1F1I_W36,steered,10.0,True,3.500000197913199e-08
BETTERPOL1F1I_W36,steered,12.0,True,1.3499999897784744e-07
BETTERPOL1F1I_W36,steered,14.0,True,9.249999795358594e-07
BETTERPOL1F1I_W36,steered,16.0,True,6.464999944059416e-06
BETTERPOL1F1I_W36,steered,18.0,True,4.504499709252389e-05
BETTERPOL1F1I_W36,steered,20.0,True,0.00035062497495117503
BETTERPOL2F1A_W36,declared,,True,0.0
BETTERPOL2F1A_W36,steered,0.0,True,0.0
BETTERPOL2F1A_W36,steered,2.0,True,0.0
BETTERPOL2F1A_W36,steered,4.0,True,0.0
BETTERPOL2F1A_W36,steered,6.0,True,0.0
BETTERPOL2F1A_W36,steered,8.0,True,0.0
BETTERPOL2F1A_W36,steered,10.0,True,0.0
BETTERPOL2F1A_W36,steered,12.0,True,1.9999999209237583e-08
BETTERPOL2F1A_W36,steered,14.0,True,7.999999678451836e-08
BETTERPOL2F1A_W36,steered,16.0,True,3.0499998762024554e-07
BETTERPOL2F1A_W36,steered,18.0,True,1.5149999211707853e-06
BETTERPOL2F1A_W36,steered,20.0,True,9.504999503444514e-06
BETTERPOL2F1C_W36,declared,,True,0.0
BETTERPOL2F1C_W36,steered,0.0,True,0.0
BETTERPOL2F1C_W36,steered,2.0,True,0.0
BETTERPOL2F1C_W36,steered,4.0,True,0.0
BETTERPOL2F1C_W36,steered,6.0,True,0.0
BETTERPOL2F1C_W36,steered,8.0,True,0.0
BETTERPOL2F1C_W36,steered,10.0,True,0.0
BETTERPOL2F1C_W36,steered,12.0,True,1.499999956718069e-08
BETTERPOL2F1C_W36,steered,14.0,True,5.000000095610189e-08
BETTERPOL2F1C_W36,steered,16.0,True,2.2000000476015402e-07
BETTERPOL2F1C_W36,steered,18.0,True,7.300000642640062e-07
BETTERPOL2F1C_W36,steered,20.0,True,4.835000082878242e-06
BETTERPOL2F1D_W36,declared,,True,0.0
BETTERPOL2F1D_W36,steered,0.0,True,0.0
BETTERPOL2F1D_W36,steered,2.0,True,0.0
BETTERPOL2F1D_W36,steered,4.0,True,0.0
BETTERPOL2F1D_W36,steered,6.0,True,0.0
BETTERPOL2F1D_W36,steered,8.0,True,0.0
BETTERPOL2F1D_W36,steered,10.0,True,9.999999814101496e-09
BETTERPOL2F1D_W36,steered,12.0,True,2.999999828719302e-08
BETTERPOL2F1D_W36,steered,14.0,True,1.000000024117086e-07
BETTERPOL2F1D_W36,steered,16.0,True,4.6999997667548026e-07
BETTERPOL2F1D_W36,steered,18.0,True,2.4549999730793594e-06
BETTERPOL2F1D_W36,steered,20.0,True,1.160499913083197e-05
BETTERPOL2F1F_W36,declared,,True,0.0
BETTERPOL2F1F_W36,steered,0.0,True,0.0
BETTERPOL2F1F_W36,steered,2.0,True,0.0
BETTERPOL2F1F_W36,steered,4.0,True,0.0
BETTERPOL2F1F_W36,steered,6.0,True,0.0
BETTERPOL2F1F_W36,steered,8.0,True,0.0
BETTERPOL2F1F_W36,steered,10.0,True,4.999999914101494e-09
BETTERPOL2F1F_W36,steered,12.0,True,2.4999998687192998e-08
BETTERPOL2F1F_W36,steered,14.0,True,7.999999677835999e-08
BETTERPOL2F1F_W36,steered,16.0,True,3.700000171368708e-07
BETTERPOL2F1F_W36,steered,18.0,True,1.714999934236756e-06
BETTERPOL2F1F_W36,steered,20.0,True,9.374999516627182e-06
BILLION_W92,declared,,False,6.450000113431184e-07
BILLION_W92,steered,0.0,False,0.0
BILLION_W92,steered,2.0,False,4.265000676176728e-06
BILLION_W92,steered,4.0,False,5.170000988443786e-06
BILLION_W92,steered,6.0,False,2.6319998750768303e-05
BILLION_W92,steered,8.0,False,4.4954998670299916e-05
BILLION_W92,steered,10.0,False,0.0001603100064124129
BILLION_W92,steered,12.0,False,0.0003322649846406624
BILLION_W92,steered,14.0,False,0.0008139200285852869
BILLION_W92,steered,16.0,False,0.0015808600749492845
BILLION_W92,steered,18.0,False,0.004932350001194932
BILLION_W92,steered,20.0,False,0.01444241988516552
BOYSF1B_W29,declared,,False,0.24506200164832617
BOYSF1B_W29,steered,0.0,False,0.0
BOYSF1B_W29,steered,2.0,False,0.09750341565989755
BOYSF1B_W29,steered,4.0,False,0.2634176727658766
BOYSF1B_W29,steered,6.0,False,0.3584179126165249
BOYSF1B_W29,steered,8.0,False,0.39393473319235833
BOYSF1B_W29,steered,10.0,False,0.43320602289028054
BOYSF1B_W29,steered,12.0,False,0.44886076153417714
BOYSF1B_W29,steered,14.0,False,0.45019772348559944
BOYSF1B_W29,steered,16.0,False,0.45579894804651705
BOYSF1B_W29,steered,18.0,False,0.43937424704573913
BOYSF1B_W29,steered,20.0,False,0.4252489601729667
CANDEXP_W92,declared,,False,0.2195277099682723
CANDEXP_W92,steered,0.0,False,0.0
CANDEXP_W92,steered,2.0,False,0.0015615697904757253
CANDEXP_W92,steered,4.0,False,0.0035173796633264365
CANDEXP_W92,steered,6.0,False,0.006357509554974383
CANDEXP_W92,steered,8.0,False,0.013728300157401008
CANDEXP_W92,steered,10.0,False,0.022642118161813718
CANDEXP_W92,steered,12.0,False,0.0469954962188498
CANDEXP_W92,steered,14.0,False,0.07505475693358032
CANDEXP_W92,steered,16.0,False,0.14612140257852912
CANDEXP_W92,steered,18.0,False,0.2180935930432435
CANDEXP_W92,steered,20.0,False,0.42813410303738797
CARRYGUN_W26,declared,,False,9.300000587000019e-07
CARRYGUN_W26,steered,0.0,False,0.0
CARRYGUN_W26,steered,2.0,False,1.1000000430000015e-07
CARRYGUN_W26,steered,4.0,False,2.400000024e-07
CARRYGUN_W26,steered,6.0,False,7.199999928000002e-07
CARRYGUN_W26,steered,8.0,False,1.310000055700002e-06
CARRYGUN_W26,steered,10.0,False,3.2200000054e-06
CARRYGUN_W26,steered,12.0,False,5.420000285000013e-06
CARRYGUN_W26,steered,14.0,False,1.7849999089500046e-05
CARRYGUN_W26,steered,16.0,False,5.4079998837400006e-05
CARRYGUN_W26,steered,18.0,False,0.00018931001146310067
CARRYGUN_W26,steered,20.0,False,0.0018707498868385068
CLASS_W32,declared,,False,0.2342368988194537
CLASS_W32,steered,0.0,False,0.0
CLASS_W32,steered,2.0,False,0.1853907163227493
CLASS_W32,steered,4.0,False,0.30287442378926177
CLASS_W32,steered,6.0,False,0.3666004652144257
CLASS_W32,steered,8.0,False,0.42934463570655335
CLASS_W32,steered,10.0,False,0.5537516951072683
CLASS_W32,steered,12.0,False,0.6405989361960268
CLASS_W32,steered,14.0,False,0.7134833687363997
CLASS_W32,steered,16.0,False,0.6944154635136943
CLASS_W32,steered,18.0,False,0.5930007753320778
CLASS_W32,steered,20.0,False,0.38720451464056
COHABDUR_W50,declared,,False,0.05649040960052376
COHABDUR_W50,steered,0.0,False,0.0
COHABDUR_W50,steered,2.0,False,0.057601382961223635
COHABDUR_W50,steered,4.0,False,0.07796078346312962
COHABDUR_W50,steered,6.0,False,0.11109262333277847
COHABDUR_W50,steered,8.0,False,0.2468428081830878
COHABDUR_W50,steered,10.0,False,0.6077847651391435
COHABDUR_W50,steered,12.0,False,0.8090696222972321
COHABDUR_W50,steered,14.0,False,1.1544205777704635
COHABDUR_W50,steered,16.0,False,1.3767784668735552
COHABDUR_W50,steered,18.0,False,1.4080143396398985
COHABDUR_W50,steered,20.0,False,1.2198564271948629
COMMIMPA_W32,declared,,False,0.029190700296844896
COMMIMPA_W32,steered,0.0,False,0.0
COMMIMPA_W32,steered,2.0,False,5.6299998421049935e-06
COMMIMPA_W32,steered,4.0,False,1.0749999739823046e-05
COMMIMPA_W32,steered,6.0,False,2.5779999947239673e-05
COMMIMPA_W32,steered,8.0,False,4.3660000401346544e-05
COMMIMPA_W32,steered,10.0,False,9.45699961703017e-05
COMMIMPA_W32,steered,12.0,False,0.0002590300000456791
COMMIMPA_W32,steered,14.0,False,0.0005459500159480379
COMMIMPA_W32,steered,16.0,False,0.0011550300696063776
COMMIMPA_W32,steered,18.0,False,0.0031218896831743947
COMMIMPA_W32,steered,20.0,False,0.008318019284886735
COMMIMPB_W32,declared,,False,0.014056759432863997
COMMIMPB_W32,steered,0.0,False,0.0
COMMIMPB_W32,steered,2.0,False,3.989999472708838e-06
COMMIMPB_W32,steered,4.0,False,2.2769998455407503e-05
COMMIMPB_W32,steered,6.0,False,5.419999941380649e-05
COMMIMPB_W32,steered,8.0,False,0.00011951001367527248
COMMIMPB_W32,steered,10.0,False,0.00019796999993459963
COMMIMPB_W32,steered,12.0,False,0.0003273000061599918
COMMIMPB_W32,steered,14.0,False,0.0006925600222135175
COMMIMPB_W32,steered,16.0,False,0.001452349952574039
COMMIMPB_W32,steered,18.0,False,0.0030517497492593693
COMMIMPB_W32,steered,20.0,False,0.006143169425292028
COMMIMPC_W32,declared,,False,0.8782119445309728
COMMIMPC_W32,steered,0.0,False,0.0
COMMIMPC_W32,steered,2.0,False,0.00044851006386403824
COMMIMPC_W32,steered,4.0,False,0.001011070020221383
COMMIMPC_W32,steered,6.0,False,0.001830779946043859
COMMIMPC_W32,steered,8.0,False,0.004012429958693109
COMMIMPC_W32,steered,10.0,False,0.006627439398763757
