model,attribute,group_a,group_b,channel,magnitude,regime,n_questions,n_predictions,strict_accuracy,log_odds_slope_per_gap_sd,odds_ratio_per_gap_sd,slope_ci95_low,slope_ci95_high,cluster_robust_p_slope_le_zero,display_regime,selected_magnitude
qwen,gender,Male,Female,declared,,Declared,242,484,0.49793388429752067,0.008586730797978058,1.0086237025171778,-0.010958010725633729,0.028131472321589843,0.19459126709995134,Declared,20.0
qwen,age,30-49,65+,declared,,Declared,241,482,0.4896265560165975,0.17437959927281416,1.1905073957994967,0.062024458829081655,0.28673473971654667,0.001175070682847597,Declared,20.0
qwen,education,Less than high school,High school graduate,declared,,Declared,243,486,0.21604938271604937,0.15595965218627386,1.168779044459329,-0.01304374237419123,0.3249630467467389,0.0352467519763381,Declared,20.0
qwen,education,Less than high school,College graduate/some postgrad,declared,,Declared,243,486,0.4053497942386831,0.16579445531685633,1.180330466136236,0.038050199871464296,0.29353871076224836,0.0054825333204387835,Declared,20.0
qwen,education,High school graduate,College graduate/some postgrad,declared,,Declared,243,486,0.3497942386831276,0.13768903328254434,1.1476186235846273,0.027064452876170028,0.24831361368891863,0.007353462566366793,Declared,20.0
qwen,socioeco,"Less than $30,000","$100,000 or more",declared,,Declared,243,486,0.5205761316872428,0.06446445705512413,1.0665876679042448,-0.06344838195964247,0.19237729606989074,0.16162906928899373,Declared,20.0
qwen,gender,Male,Female,steered,20.0,Steered N=20,242,484,0.5020661157024794,-0.07783529806904722,0.9251167825169707,-0.199482134127468,0.04381153798937357,0.8950970011838064,Steered,20.0
qwen,age,30-49,65+,steered,20.0,Steered N=20,241,482,0.4896265560165975,0.016535324084662004,1.0166727891874443,-0.08218929903119354,0.11525994720051755,0.37135030425990107,Steered,20.0
qwen,education,Less than high school,High school graduate,steered,20.0,Steered N=20,243,486,0.24279835390946503,0.14292332384624576,1.1536413414937832,-0.06430866904721308,0.35015531673970457,0.08822466531263579,Steered,20.0
qwen,education,Less than high school,College graduate/some postgrad,steered,20.0,Steered N=20,243,486,0.43209876543209874,0.04070749800369163,1.0415474062894923,-0.07390117192506945,0.1553161679324527,0.24316233833082407,Steered,20.0
qwen,education,High school graduate,College graduate/some postgrad,steered,20.0,Steered N=20,243,486,0.3662551440329218,0.09143133579861826,1.0957415358919131,-0.03708376667296731,0.21994643827020383,0.08159377513615845,Steered,20.0
qwen,socioeco,"Less than $30,000","$100,000 or more",steered,20.0,Steered N=20,243,486,0.5041152263374485,0.021012324003097556,1.0212346372588088,-0.03274980732205827,0.07477445532825339,0.22182507805093976,Steered,20.0
llama,gender,Male,Female,declared,,Declared,242,484,0.5247933884297521,0.026913723590742424,1.0272791689820373,-0.0795640625402255,0.13339150972171035,0.3101529222001683,Declared,20.0
llama,age,30-49,65+,declared,,Declared,241,482,0.4854771784232365,0.08445191498717203,1.0881205206848295,-0.0503998298265764,0.21930365980092045,0.10982399513709062,Declared,20.0
llama,education,Less than high school,High school graduate,declared,,Declared,243,486,0.3333333333333333,0.05275826295908881,1.0541747812233588,-0.1130322167784581,0.2185487426966357,0.2664070160433162,Declared,20.0
llama,education,Less than high school,College graduate/some postgrad,declared,,Declared,243,486,0.3786008230452675,0.12997899258046075,1.1388044597302776,-0.0545360562838581,0.3144940414447796,0.08368652963922002,Declared,20.0
llama,education,High school graduate,College graduate/some postgrad,declared,,Declared,243,486,0.32510288065843623,0.17325803651566046,1.1891729155338222,0.03389682417163331,0.3126192488596876,0.007410355074184065,Declared,20.0
llama,socioeco,"Less than $30,000","$100,000 or more",declared,,Declared,243,486,0.5,0.19505292537385832,1.2153753089801758,0.06246826619729212,0.3276375845504245,0.0019666077734403257,Declared,20.0
