model,attribute,group_a,group_b,channel,magnitude,regime,target_human_group,expected_model_class,competitor_model_class,quartile,n_questions,mean_human_gap,mean_difference,median_difference,own_profile_closer_rate,tie_rate,fractional_win_rate,p_value_one_sided,p_value_holm,significant_holm_0.05,display_regime,selected_magnitude
qwen,gender,Male,Female,declared,,Declared,Male,male,female,Q4,52,0.37690147370366983,0.0048979967270578505,1.999999887924986e-08,0.4230769230769231,0.09615384615384616,0.47115384615384615,0.7230291789579986,0.7230291789579986,False,Declared,20.0
qwen,gender,Male,Female,declared,,Declared,Female,female,male,Q4,52,0.37690147370366983,-0.00883466824022033,-3.99999981193222e-08,0.5384615384615384,0.09615384615384616,0.5865384615384616,0.19204412473692606,0.3840882494738521,False,Declared,20.0
qwen,gender,Male,Female,steered,20.0,Steered N=20,Male,male,female,Q4,52,0.37690147370366983,0.01137869250972622,0.003146214726396368,0.38461538461538464,0.0,0.38461538461538464,0.8546077809789088,1.0,False,Steered,20.0
qwen,gender,Male,Female,steered,20.0,Steered N=20,Female,female,male,Q4,52,0.37690147370366983,0.020579074851269565,4.090500091766258e-05,0.5,0.0,0.5,0.7351215826472776,1.0,False,Steered,20.0
llama,gender,Male,Female,declared,,Declared,Male,male,female,Q4,52,0.37690147370366983,0.08478951566766636,0.14167833106988972,0.34615384615384615,0.0,0.34615384615384615,0.981896310069341,0.981896310069341,False,Declared,20.0
llama,gender,Male,Female,declared,,Declared,Female,female,male,Q4,52,0.37690147370366983,-0.12325110192946005,-0.06002236695933595,0.5769230769230769,0.0,0.5769230769230769,0.02458618686891105,0.0491723737378221,True,Declared,20.0
llama,gender,Male,Female,steered,20.0,Steered N=20,Male,male,female,Q4,52,0.37690147370366983,0.07673102645236797,0.14955869523354334,0.34615384615384615,0.0,0.34615384615384615,0.995276934911758,0.995276934911758,False,Steered,20.0
llama,gender,Male,Female,steered,20.0,Steered N=20,Female,female,male,Q4,52,0.37690147370366983,-0.06944669516981097,-0.22141699584978553,0.5769230769230769,0.0,0.5769230769230769,0.03427430275145656,0.06854860550291313,False,Steered,20.0
mistral,gender,Male,Female,declared,,Declared,Male,male,female,Q4,52,0.37690147370366983,-0.07690378072262105,-0.00014133002892030566,0.6153846153846154,0.019230769230769232,0.625,0.02733060904431402,0.05466121808862804,False,Declared,2.0
mistral,gender,Male,Female,declared,,Declared,Female,female,male,Q4,52,0.37690147370366983,-0.04492662408101889,6.665001455630204e-06,0.46153846153846156,0.019230769230769232,0.4711538461538462,0.6689921901117567,0.6689921901117567,False,Declared,2.0
mistral,gender,Male,Female,steered,2.0,Steered N=2,Male,male,female,Q4,52,0.37690147370366983,-0.09519693156999778,-0.06293047556209916,0.6153846153846154,0.0,0.6153846153846154,0.036401589464004784,0.07280317892800957,False,Steered,2.0
mistral,gender,Male,Female,steered,2.0,Steered N=2,Female,female,male,Q4,52,0.37690147370366983,0.12545476829022867,0.1306899237037265,0.3076923076923077,0.0,0.3076923076923077,0.9650282523680935,0.9650282523680935,False,Steered,2.0
qwen,age,30-49,65+,declared,,Declared,30-49,adult,older_adult,Q4,63,0.46136618888318176,-0.036961450946924226,2.169999817280832e-06,0.42857142857142855,0.015873015873015872,0.4365079365079365,0.6919170863329425,0.6919170863329425,False,Declared,20.0
qwen,age,30-49,65+,declared,,Declared,65+,older_adult,adult,Q4,63,0.46136618888318176,-0.09068206080992285,-4.129989994217098e-06,0.5873015873015873,0.015873015873015872,0.5952380952380952,0.07383837159503218,0.14767674319006435,False,Declared,20.0
qwen,age,30-49,65+,steered,20.0,Steered N=20,30-49,adult,older_adult,Q4,63,0.46136618888318176,-0.1124825623025707,-0.08504075000000003,0.7619047619047619,0.0,0.7619047619047619,0.00019033957257273145,0.0003806791451454629,True,Steered,20.0
qwen,age,30-49,65+,steered,20.0,Steered N=20,65+,older_adult,adult,Q4,63,0.46136618888318176,0.12781295701657297,0.043456529458590465,0.30158730158730157,0.0,0.30158730158730157,0.9992893360343363,0.9992893360343363,False,Steered,20.0
llama,age,30-49,65+,declared,,Declared,30-49,adult,older_adult,Q4,63,0.46136618888318176,-0.009854456017716536,0.014086661564489678,0.47619047619047616,0.0,0.47619047619047616,0.5571582371776335,1.0,False,Declared,20.0
llama,age,30-49,65+,declared,,Declared,65+,older_adult,adult,Q4,63,0.46136618888318176,0.021562496718281865,0.0218411741607642,0.4603174603174603,0.0,0.4603174603174603,0.5598600059839848,1.0,False,Declared,20.0
llama,age,30-49,65+,steered,20.0,Steered N=20,30-49,adult,older_adult,Q4,63,0.46136618888318176,-0.20254304409100932,-0.20221592556746382,0.7619047619047619,0.0,0.7619047619047619,4.585118467771257e-07,9.170236935542514e-07,True,Steered,20.0
llama,age,30-49,65+,steered,20.0,Steered N=20,65+,older_adult,adult,Q4,63,0.46136618888318176,0.15714330724469647,0.1308953881204752,0.30158730158730157,0.0,0.30158730158730157,0.9990365868109431,0.9990365868109431,False,Steered,20.0
mistral,age,30-49,65+,declared,,Declared,30-49,adult,older_adult,Q4,63,0.46136618888318176,-0.033009726986880115,7.575999870290673e-05,0.42857142857142855,0.0,0.42857142857142855,0.6543435678368166,0.6543435678368166,False,Declared,2.0
mistral,age,30-49,65+,declared,,Declared,65+,older_adult,adult,Q4,63,0.46136618888318176,-0.05096850544714303,-7.575999870312877e-05,0.5714285714285714,0.0,0.5714285714285714,0.29667210929817267,0.5933442185963453,False,Declared,2.0
mistral,age,30-49,65+,steered,2.0,Steered N=2,30-49,adult,older_adult,Q4,63,0.46136618888318176,-0.0013540137779632123,0.01026792881443589,0.47619047619047616,0.0,0.47619047619047616,0.4645412120332609,0.9290824240665218,False,Steered,2.0
mistral,age,30-49,65+,steered,2.0,Steered N=2,65+,older_adult,adult,Q4,63,0.46136618888318176,0.0033884835643147636,0.012146919472883377,0.47619047619047616,0.0,0.47619047619047616,0.5813635974511442,0.9290824240665218,False,Steered,2.0
qwen,education,Less than high school,College graduate/some postgrad,declared,,Declared,Less than high school,some schooling,college and more,Q4,53,0.5093558509461233,0.1337019732520427,4.399999400384047e-07,0.41509433962264153,0.05660377358490566,0.44339622641509435,0.8217065300307644,1.0,False,Declared,20.0
qwen,education,Less than high school,College graduate/some postgrad,declared,,Declared,College graduate/some postgrad,college and more,some schooling,Q4,53,0.5093558509461233,-0.15881091998672503,-2.499999917748852e-06,0.5471698113207547,0.05660377358490566,0.5754716981132075,0.08597906579992204,0.5158743947995322,False,Declared,20.0
qwen,education,Less than high school,College graduate/some postgrad,steered,20.0,Steered N=20,Less than high school,some schooling,college and more,Q4,53,0.5093558509461233,-0.009773877293241869,-0.00015740997060309514,0.5660377358490566,0.0,0.5660377358490566,0.33705780689432446,1.0,False,Steered,20.0
qwen,education,Less than high school,College graduate/some postgrad,steered,20.0,Steered N=20,College graduate/some postgrad,college and more,some schooling,Q4,53,0.5093558509461233,0.030614986746959894,0.0014468900828910058,0.39622641509433965,0.0,0.39622641509433965,0.8667205515045859,1.0,False,Steered,20.0
llama,education,Less than high school,College graduate/some postgrad,declared,,Declared,Less than high school,some schooling,college and more,Q4,53,0.5093558509461233,0.20937942024170245,0.16142040492370402,0.3018867924528302,0.0,0.3018867924528302,0.9941090718981737,1.0,False,Declared,20.0
llama,education,Less than high school,College graduate/some postgrad,declared,,Declared,College graduate/some postgrad,college and more,some schooling,Q4,53,0.5093558509461233,-0.11780859891687309,-0.10151886728800874,0.660377358490566,0.0,0.660377358490566,0.06227475016635051,0.31137375083175256,False,Declared,20.0
llama,education,Less than high school,College graduate/some postgrad,steered,20.0,Steered N=20,Less than high school,some schooling,college and more,Q4,53,0.5093558509461233,0.10071829483005473,0.08298421505071762,0.41509433962264153,0.0,0.41509433962264153,0.9851231471983699,1.0,False,Steered,20.0
llama,education,Less than high school,College graduate/some postgrad,steered,20.0,Steered N=20,College graduate/some postgrad,college and more,some schooling,Q4,53,0.5093558509461233,-0.12618164037318624,-0.0752327988067984,0.660377358490566,0.0,0.660377358490566,0.0048066973174692934,0.024033486587346466,True,Steered,20.0
mistral,education,Less than high school,College graduate/some postgrad,declared,,Declared,Less than high school,some schooling,college and more,Q4,53,0.5093558509461233,0.07436512095397185,-2.43500026149146e-05,0.5471698113207547,0.0,0.5471698113207547,0.25762711934003074,1.0,False,Declared,2.0
mistral,education,Less than high school,College graduate/some postgrad,declared,,Declared,College graduate/some postgrad,college and more,some schooling,Q4,53,0.5093558509461233,-0.12347433234430087,1.1000003508065959e-06,0.49056603773584906,0.0,0.49056603773584906,0.4735313829789033,1.0,False,Declared,2.0
