model,attribute,regime,selected_magnitude,n_questions,mean,ci95_low,ci95_high
qwen,gender,Declared,20.0,243,-0.011770024907666796,-0.039072892275630114,0.02010138156920765
qwen,gender,Steered,20.0,243,-0.06578771921124767,-0.09100915352936507,-0.0409661105033853
qwen,age,Declared,20.0,241,-0.026283953085611246,-0.05748920714779415,0.0040877897614892455
qwen,age,Steered,20.0,241,-0.08964136901484773,-0.11319993003300535,-0.067526975432758
qwen,education,Declared,20.0,243,-0.023417012958882547,-0.0490301231967353,0.002562850622216674
qwen,education,Steered,20.0,243,-0.07555413265166014,-0.09948586929278322,-0.05223104063179097
qwen,socioeco,Declared,20.0,243,-0.025064180569398017,-0.050297649975346186,-0.0006883548913192598
qwen,socioeco,Steered,20.0,243,-0.015741444015924845,-0.03982567575362092,0.007754016853028608
llama,gender,Declared,20.0,243,0.05542365865969985,0.02144823195577025,0.08903767283527894
llama,gender,Steered,20.0,243,-0.15496420243116377,-0.19885234839313318,-0.11173366775596569
llama,age,Declared,20.0,241,0.012961187325964971,-0.028518913210904804,0.05225344946463203
llama,age,Steered,20.0,241,-0.10314666130993444,-0.14991992364191623,-0.056233704860404465
llama,education,Declared,20.0,243,0.07749980997106652,0.0425002809673906,0.11200425060123183
llama,education,Steered,20.0,243,-0.1286834255669262,-0.17492908057455553,-0.08234909294389763
llama,socioeco,Declared,20.0,243,0.006981774703172526,-0.03477212968358383,0.048471156963773354
llama,socioeco,Steered,20.0,243,-0.042198256420614415,-0.0963281186382437,0.010907880609192597
mistral,gender,Declared,2.0,243,0.027045441808222888,0.005789175214016062,0.048342685007245374
mistral,gender,Steered,2.0,243,-0.25505262437627646,-0.292487893931049,-0.21730724720094316
mistral,age,Declared,2.0,241,0.013856668160765227,-0.01055223365022173,0.03583561969768454
mistral,age,Steered,2.0,241,-0.24692161665699874,-0.2929688677592692,-0.19917960068401963
mistral,education,Declared,2.0,243,0.03481823106772853,0.015419879226787659,0.05475701743450333
mistral,education,Steered,2.0,243,-0.21710818609370233,-0.25498849451645605,-0.1788644299780349
mistral,socioeco,Declared,2.0,243,0.03141256273078261,0.008852267638647722,0.05360145078655261
mistral,socioeco,Steered,2.0,243,-0.30505688637151074,-0.34277353985141346,-0.26651125011392945
