model,attribute,regime,selected_magnitude,quartile,n_questions,chance_accuracy,mean,ci95_low,ci95_high
qwen,gender,Declared,20.0,Q4,52,0.5,0.019230769230769232,0.0,0.04807692307692308
qwen,gender,Steered,20.0,Q4,52,0.5,0.0,-0.0673076923076923,0.0673076923076923
qwen,age,Declared,20.0,Q4,63,0.5,0.023809523809523808,-0.015873015873015872,0.0636904761904733
qwen,age,Steered,20.0,Q4,63,0.5,0.0,-0.03968253968253968,0.03968253968253968
qwen,education,Declared,20.0,Q4,53,0.3333333333333333,0.09119496855345918,0.025157232704402545,0.15723270440251574
qwen,education,Steered,20.0,Q4,53,0.3333333333333333,0.11006289308176107,0.05345911949685537,0.15723270440251574
qwen,socioeco,Declared,20.0,Q4,58,0.5,0.034482758620689655,-0.017241379310344827,0.09482758620689655
qwen,socioeco,Steered,20.0,Q4,58,0.5,0.017241379310344827,-0.02586206896551724,0.0603448275862069
llama,gender,Declared,20.0,Q4,52,0.5,0.07692307692307693,0.0,0.15384615384615385
llama,gender,Steered,20.0,Q4,52,0.5,0.0673076923076923,0.0,0.1346153846153846
llama,age,Declared,20.0,Q4,63,0.5,0.0,-0.05555555555555555,0.05555555555555555
llama,age,Steered,20.0,Q4,63,0.5,0.007936507936507936,-0.05555555555555555,0.06349206349206349
llama,education,Declared,20.0,Q4,53,0.3333333333333333,0.07232704402515727,-0.02201257861635216,0.1666666666666667
llama,education,Steered,20.0,Q4,53,0.3333333333333333,0.11006289308176107,0.034591194968553486,0.18553459119496857
llama,socioeco,Declared,20.0,Q4,58,0.5,0.09482758620689655,0.05172413793103448,0.14655172413793102
llama,socioeco,Steered,20.0,Q4,58,0.5,-0.07758620689655173,-0.1724137931034483,0.008620689655172414
mistral,gender,Declared,2.0,Q4,52,0.5,0.038461538461538464,-0.019230769230769232,0.09615384615384616
mistral,gender,Steered,2.0,Q4,52,0.5,-0.10576923076923077,-0.20192307692307693,-0.009615384615384616
mistral,age,Declared,2.0,Q4,63,0.5,0.0,-0.047619047619047616,0.047619047619047616
mistral,age,Steered,2.0,Q4,63,0.5,0.03968253968253968,-0.015873015873015872,0.10317460317460317
mistral,education,Declared,2.0,Q4,53,0.3333333333333333,0.14779874213836483,0.09119496855345918,0.20440251572327045
mistral,education,Steered,2.0,Q4,53,0.3333333333333333,0.006289308176100649,-0.059748427672955975,0.07232704402515726
mistral,socioeco,Declared,2.0,Q4,58,0.5,0.09482758620689655,0.034482758620689655,0.16379310344827586
mistral,socioeco,Steered,2.0,Q4,58,0.5,-0.04310344827586207,-0.10344827586206896,0.017241379310344827
