attribute,magnitude,prompt_variant,n_profiles,strict_accuracy,mean_target_probability,mean_target_margin,refusal_prediction_rate,unique_prediction_fraction,complete_collapse,all_profiles_correct,mean_pairwise_js
age,0.0,current_perspective,4,0.25,0.24555307852100153,0.0,0.0,0.25,1,0,0.0
age,0.0,represented_profile,4,0.25,0.24941461225448022,-2.7755575615628914e-17,0.0,0.25,1,0,0.0
age,0.0,user_role,4,0.25,0.24912903628872335,-1.3877787807814457e-17,0.0,0.25,1,0,0.0
age,2.0,current_perspective,4,0.25,0.27611336224208155,0.047442045057952145,0.0,0.25,1,0,0.06788059151989152
age,2.0,represented_profile,4,0.25,0.2554490577940632,0.009698445089553823,0.0,0.25,1,0,0.013339870930250922
age,2.0,user_role,4,0.25,0.2570431855475288,0.012539243622563104,0.0,0.25,1,0,0.019190421086809867
age,4.0,current_perspective,4,0.25,0.2937153122927393,0.0756544662913236,0.0,0.25,1,0,0.12480850220636934
age,4.0,represented_profile,4,0.25,0.27188572609639244,0.03731707665660189,0.0,0.25,1,0,0.05988166833591335
age,4.0,user_role,4,0.25,0.2704469494334134,0.03553732475620999,0.0,0.25,1,0,0.08527354059082172
age,6.0,current_perspective,4,0.25,0.29801938464969413,0.0863279382647619,0.0,0.25,1,0,0.1619535837914367
age,6.0,represented_profile,4,0.25,0.294254679467199,0.07422229214043845,0.0,0.25,1,0,0.11386215230004336
age,6.0,user_role,4,0.25,0.28310761370382653,0.05877314588190852,0.0,0.25,1,0,0.13267191976552076
age,8.0,current_perspective,4,0.25,0.2746681835837323,0.060584064684714584,0.0,0.5,0,0,0.19249112910188426
age,8.0,represented_profile,4,0.25,0.3100076763109835,0.10305938973242232,0.0,0.25,1,0,0.17015499898555167
age,8.0,user_role,4,0.25,0.29246495134324685,0.07964397302465627,0.0,0.25,1,0,0.16126411128099552
age,10.0,current_perspective,4,0.25,0.22800741766173577,0.00578559738750524,0.0,0.75,0,0,0.20936616242614345
age,10.0,represented_profile,4,0.25,0.3116920090953297,0.11192404507463989,0.0,0.5,0,0,0.20017981141919403
age,10.0,user_role,4,0.25,0.28173200051230696,0.07213325788717906,0.0,0.25,1,0,0.17451564357377206
age,12.0,current_perspective,4,0.25,0.1810857367402227,-0.048765839764031656,0.25,0.5,0,0,0.22513570642575023
