attribute,class_label,magnitude,mean_entropy_nats,mean_normalized_entropy,mean_effective_options,mean_top_mass,mean_nonordinal_mass,mean_top_is_nonordinal,mean_top_mass_ge_0_9,mean_near_uniform,mean_low_entropy,n_questions
age,adolescent,0.0,0.9080907348955282,0.6920315128801884,2.5948205340732415,0.6224885802140028,0.00164569997079916,0.0,0.07692307692307693,0.06275303643724696,0.004048582995951417,494
age,adolescent,2.0,0.9443351703878977,0.7232641306717008,2.677346794016154,0.6057631480441776,0.0014827937380339608,0.0,0.048582995951417005,0.05465587044534413,0.004048582995951417,494
age,adolescent,4.0,1.0209294831736242,0.7839431192576133,2.8743182600681916,0.5633644398858068,0.0014733625064076578,0.0,0.022267206477732792,0.10121457489878542,0.0020242914979757085,494
age,adolescent,6.0,1.0733415305197342,0.8255874065135503,3.01430562403233,0.5312350255908157,0.001916140074665937,0.0,0.022267206477732792,0.19230769230769232,0.0,494
age,adolescent,8.0,1.0316900147177477,0.7971279250967714,2.880548713142536,0.5630867284821033,0.0027001652691914005,0.0,0.01417004048582996,0.13562753036437247,0.0,494
age,adolescent,10.0,0.9751273004604455,0.7568711352610059,2.713343558460906,0.601620824718822,0.0032163925330264843,0.0020242914979757085,0.008097165991902834,0.10323886639676114,0.0,494
age,adolescent,12.0,0.9509025343318616,0.7403333897435976,2.644429931046001,0.6195109205882285,0.003529053688802373,0.004048582995951417,0.012145748987854251,0.10121457489878542,0.0,494
age,adolescent,14.0,0.9475829469382574,0.7391521690759633,2.633467728596939,0.6241000531052415,0.0037795581938217387,0.004048582995951417,0.018218623481781375,0.0931174089068826,0.0,494
age,adolescent,16.0,0.9506459622245944,0.7425344784810731,2.6391145918449,0.6234501922256066,0.0039820649894838035,0.004048582995951417,0.016194331983805668,0.10323886639676114,0.0,494
age,adolescent,18.0,0.9555104818503586,0.7469399322575923,2.6488892264768213,0.6213680815537531,0.00419680741939891,0.004048582995951417,0.010121457489878543,0.14777327935222673,0.0,494
age,adolescent,20.0,0.961803321429329,0.7521205103108225,2.662412578100014,0.617650982367519,0.0044203806530023195,0.004048582995951417,0.008097165991902834,0.19838056680161945,0.0,494
age,adult,0.0,0.9080907348955282,0.6920315128801884,2.5948205340732415,0.6224885802140028,0.00164569997079916,0.0,0.07692307692307693,0.06275303643724696,0.004048582995951417,494
age,adult,2.0,0.9487062922127047,0.7240784609817201,2.6985758535794258,0.5996024768190361,0.002086260987523575,0.0,0.0708502024291498,0.07489878542510121,0.008097165991902834,494
age,adult,4.0,0.974488091385339,0.745413592040954,2.7605919468103814,0.589319320897851,0.002860529736350999,0.0020242914979757085,0.06072874493927125,0.0728744939271255,0.008097165991902834,494
age,adult,6.0,0.9961881663354781,0.7615962137919037,2.810660494228928,0.5793727547273609,0.003440407016137939,0.0020242914979757085,0.03643724696356275,0.06275303643724696,0.006072874493927126,494
age,adult,8.0,1.0173416682322909,0.7757634148047176,2.8661083942506207,0.5666095764493697,0.0039793080318029535,0.0020242914979757085,0.032388663967611336,0.05668016194331984,0.0,494
age,adult,10.0,1.0501904573382372,0.7990421641570769,2.9568687533952183,0.5453724695545518,0.004770907141047299,0.0020242914979757085,0.012145748987854251,0.08299595141700405,0.0,494
age,adult,12.0,1.0937485134315472,0.8318679348724362,3.076795348771319,0.5186407540263784,0.0058893574951625356,0.004048582995951417,0.004048582995951417,0.11740890688259109,0.0,494
age,adult,14.0,1.1336151581317506,0.8632705570651121,3.187413272305291,0.49616111115724704,0.007128873653523361,0.010121457489878543,0.0,0.1396761133603239,0.0,494
age,adult,16.0,1.1659561994509995,0.8891542473417662,3.2806105365999247,0.47886826719998105,0.008026070921352152,0.018218623481781375,0.0,0.19230769230769232,0.0,494
age,adult,18.0,1.191654103101885,0.9093396320392668,3.3602631976652804,0.46153108989972075,0.008320122166438184,0.018218623481781375,0.0,0.2408906882591093,0.0,494
age,adult,20.0,1.2120034353206741,0.9247293018388363,3.428451521303583,0.4448003147699599,0.00811319210875142,0.020242914979757085,0.0,0.3076923076923077,0.0,494
age,child,0.0,0.9080907348955282,0.6920315128801884,2.5948205340732415,0.6224885802140028,0.00164569997079916,0.0,0.07692307692307693,0.06275303643724696,0.004048582995951417,494
age,child,2.0,0.9196279889587609,0.7008374136603273,2.6124855176995245,0.6198710774960053,0.0018377649142327617,0.0,0.05263157894736842,0.0465587044534413,0.0020242914979757085,494
age,child,4.0,0.9874295204120095,0.7539638317419409,2.777678229337676,0.5853731047221044,0.0023771538255748085,0.0,0.016194331983805668,0.07894736842105263,0.0,494
age,child,6.0,1.061354844203743,0.8114675218931954,2.9811774332075975,0.5392812829426981,0.003423226198915511,0.0,0.008097165991902834,0.15587044534412955,0.0,494
age,child,8.0,1.100240000041168,0.8415160924976044,3.102182542962874,0.5083888080080784,0.00438343091269901,0.0,0.006072874493927126,0.24898785425101214,0.0,494
age,child,10.0,1.1141305476325964,0.8511734131282445,3.148579562541614,0.4990780381927686,0.004548172357232468,0.0,0.004048582995951417,0.27530364372469635,0.0,494
age,child,12.0,1.1197491690809624,0.853346301912179,3.16482498412716,0.50498941029935,0.004193373208509004,0.0,0.0020242914979757085,0.23684210526315788,0.0,494
age,child,14.0,1.1256886334222762,0.8558206482512438,3.180871757999751,0.5093733507135835,0.0037308226037452512,0.0,0.0020242914979757085,0.1882591093117409,0.0,494
age,child,16.0,1.132623075432963,0.859864887991476,3.200862194380157,0.5076619295772203,0.0033173556334535116,0.0,0.0,0.15789473684210525,0.0,494
age,child,18.0,1.1383580279064893,0.8638258321029881,3.2172608769874604,0.50128401295023,0.0029968153610353755,0.0,0.0,0.16194331983805668,0.0,494
age,child,20.0,1.1422207880306532,0.8668532214936475,3.2271653953871544,0.495248516593509,0.002796532885304776,0.0,0.0,0.18016194331983806,0.0,494
age,older_adult,0.0,0.9080907348955282,0.6920315128801884,2.5948205340732415,0.6224885802140028,0.00164569997079916,0.0,0.07692307692307693,0.06275303643724696,0.004048582995951417,494
age,older_adult,2.0,0.8836979536994387,0.6718888452490172,2.543802907347991,0.6360632050167129,0.0020140365536452194,0.0,0.09716599190283401,0.0465587044534413,0.012145748987854251,494
age,older_adult,4.0,0.836338563398067,0.636454495311545,2.43137769576867,0.6645716383165152,0.0026743278059670698,0.0,0.11336032388663968,0.03441295546558704,0.022267206477732792,494
age,older_adult,6.0,0.7470289715748034,0.5705247373398153,2.2568556791794228,0.7057764222774757,0.0032852349680195284,0.0020242914979757085,0.18421052631578946,0.02834008097165992,0.06680161943319839,494
age,older_adult,8.0,0.6358690074644385,0.48824404493832163,2.0316083060078354,0.7604526956443406,0.0037259461681553234,0.0020242914979757085,0.2874493927125506,0.016194331983805668,0.12348178137651822,494
age,older_adult,10.0,0.5519808358494371,0.4264086939010867,1.8604191394320595,0.8002791219340571,0.0042448310417931056,0.0020242914979757085,0.3825910931174089,0.01417004048582996,0.15789473684210525,494
age,older_adult,12.0,0.5239834898483373,0.4067633092939348,1.8000050532945766,0.8121966670011903,0.004603530399651873,0.004048582995951417,0.41295546558704455,0.006072874493927126,0.17611336032388664,494
age,older_adult,14.0,0.5499272142744054,0.4277932368950223,1.8401502018682803,0.7956415106170807,0.004670657490051784,0.004048582995951417,0.37044534412955465,0.004048582995951417,0.1437246963562753,494
