attribute,magnitude,prompt_variant,n_profiles,strict_accuracy,mean_target_probability,mean_target_margin,refusal_prediction_rate,unique_prediction_fraction,complete_collapse,all_profiles_correct,mean_pairwise_js
age,0.0,current_perspective,4,0.0,0.06724878599252597,0.0,1.0,0.0,1,0,0.0
age,0.0,represented_profile,4,0.25,0.24999769421110188,-1.3877787807814457e-17,0.0,0.25,1,0,0.0
age,0.0,user_role,4,0.0,0.09561810799840853,-1.3877787807814457e-17,1.0,0.0,1,0,0.0
age,2.0,current_perspective,4,0.0,0.18208361877749457,0.004546482445797216,0.5,0.25,0,0,0.04523516570080066
age,2.0,represented_profile,4,0.25,0.21674285403808108,0.0157625817533793,0.0,0.25,1,0,0.04046037435914201
age,2.0,user_role,4,0.0,0.17507869985064023,0.00043262675923960714,0.5,0.25,0,0,0.04585303310046749
age,4.0,current_perspective,4,0.25,0.18724331762816046,0.0008994318378124574,0.25,0.5,0,0,0.06118997392475373
age,4.0,represented_profile,4,0.25,0.20243673580725954,0.004867472824678046,0.0,0.75,0,0,0.06032071455113678
age,4.0,user_role,4,0.25,0.18260261246202636,-0.002027649587541029,0.25,0.5,0,0,0.06161434843799741
age,6.0,current_perspective,4,0.25,0.19010817862567286,0.0003561288644718455,0.0,0.75,0,0,0.07030649561770956
age,6.0,represented_profile,4,0.25,0.198764555377343,0.0013091215792749925,0.0,0.75,0,0,0.06923352671088993
age,6.0,user_role,4,0.25,0.18578528340312964,-0.002734867952443154,0.0,0.75,0,0,0.06993230096787918
age,8.0,current_perspective,4,0.25,0.1906617831335044,-0.0012864551269277172,0.0,0.75,0,0,0.07468357198223578
age,8.0,represented_profile,4,0.25,0.19748628197113746,1.8137224849876232e-05,0.0,0.75,0,0,0.07505529574997218
age,8.0,user_role,4,0.25,0.18745373197736484,-0.0035434057603002875,0.0,0.75,0,0,0.07545534025480907
age,10.0,current_perspective,4,0.25,0.19056860532709147,-0.0024676705934953275,0.0,0.75,0,0,0.07710482698712177
age,10.0,represented_profile,4,0.25,0.19595418063223835,-0.0015271866205501736,0.0,0.75,0,0,0.07771508877342238
age,10.0,user_role,4,0.25,0.18863838441900385,-0.0037111733836503527,0.0,0.75,0,0,0.07835377521057373
age,12.0,current_perspective,4,0.25,0.19273620637790664,-0.0010573632823369997,0.0,0.75,0,0,0.0793705425861188
age,12.0,represented_profile,4,0.25,0.19759900133923836,0.0005507990398694804,0.0,0.75,0,0,0.07958954123586942
age,12.0,user_role,4,0.25,0.19088727362698515,-0.0021984668779735095,0.0,0.75,0,0,0.07994811081416453
