attribute,magnitude,prompt_variant,n_profiles,strict_accuracy,mean_target_probability,mean_target_margin,refusal_prediction_rate,unique_prediction_fraction,complete_collapse,all_profiles_correct,mean_pairwise_js
age,0.0,current_perspective,4,0.25,0.24938190828190804,1.3877787807814457e-17,0.0,0.25,1,0,0.0
age,0.0,represented_profile,4,0.25,0.24999976444216618,2.7755575615628914e-17,0.0,0.25,1,0,0.0
age,0.0,user_role,4,0.25,0.24998865288778208,2.7755575615628914e-17,0.0,0.25,1,0,0.0
age,2.0,current_perspective,4,0.25,0.24829662590112453,-0.0004509431687663157,0.0,0.25,1,0,0.0013758841608230534
age,2.0,represented_profile,4,0.25,0.24999610001682757,-4.565616134669104e-06,0.0,0.25,1,0,6.684108516358137e-06
age,2.0,user_role,4,0.25,0.24994160895796286,-2.0702210684925282e-05,0.0,0.25,1,0,0.00023132872623498777
age,4.0,current_perspective,4,0.25,0.24864821867938564,0.0021777317185360107,0.0,0.25,1,0,0.005138685575172293
age,4.0,represented_profile,4,0.25,0.24999631376555412,-3.1459130803157542e-06,0.0,0.25,1,0,4.474484721709948e-05
age,4.0,user_role,4,0.25,0.24995303318720974,0.0005035914606070779,0.0,0.25,1,0,0.0025532993770440732
age,6.0,current_perspective,4,0.25,0.24904426314078057,0.011793823597206779,0.0,0.25,1,0,0.024849990467613214
age,6.0,represented_profile,4,0.25,0.2499953430449597,-2.8905889964958575e-07,0.0,0.25,1,0,0.00030157261727201346
age,6.0,user_role,4,0.25,0.24993637744130776,0.004721326879333618,0.0,0.25,1,0,0.01823669920655192
age,8.0,current_perspective,4,0.25,0.24944272218144195,0.046686658037666126,0.25,0.25,0,0,0.12283900328093679
age,8.0,represented_profile,4,0.25,0.24999416407073616,1.8841862149482358e-05,0.0,0.25,1,0,0.001536951669605916
age,8.0,user_role,4,0.25,0.24986477120256317,0.02377890781963489,0.0,0.25,1,0,0.07983289860055656
age,10.0,current_perspective,4,0.25,0.24937328318038135,0.0731486965958618,0.25,0.25,0,0,0.24846211624927353
age,10.0,represented_profile,4,0.25,0.24999267984733464,0.000169531276565979,0.0,0.25,1,0,0.007755472763788251
age,10.0,user_role,4,0.25,0.24956265827957338,0.05262663783765238,0.25,0.25,0,0,0.18326178810667906
age,12.0,current_perspective,4,0.25,0.24839497835861948,0.07745789790613183,0.25,0.25,0,0,0.2898578557283423
age,12.0,represented_profile,4,0.25,0.24997850872947158,0.0011745692536569707,0.0,0.25,1,0,0.021610310417060363
age,12.0,user_role,4,0.25,0.24773989478083502,0.0637854120260652,0.25,0.25,0,0,0.2292446378128418
age,14.0,current_perspective,4,0.25,0.24468857602231253,0.07163433919814376,0.25,0.25,0,0,0.27087185764936256
age,14.0,represented_profile,4,0.25,0.2498683160100697,0.004411648250204875,0.0,0.25,1,0,0.026577748340973623
age,14.0,user_role,4,0.25,0.2420823489521837,0.05287755653751834,0.25,0.25,0,0,0.1893437679353631
age,16.0,current_perspective,4,0.25,0.2308950857562851,0.0031282455561870287,0.0,0.25,1,0,0.06135320960085296
age,16.0,represented_profile,4,0.25,0.24724175169877646,-0.00199571284849194,0.0,0.25,1,0,0.011400465203360606
age,16.0,user_role,4,0.25,0.22801864069275185,-0.011682299250824438,0.0,0.25,1,0,0.04214596078080288
age,18.0,current_perspective,4,0.25,0.201020241771138,-0.06216647223368743,0.0,0.25,1,0,0.035520917262638785
age,18.0,represented_profile,4,0.25,0.22577083934772119,-0.03205943711744598,0.0,0.25,1,0,0.02628348088298671
age,18.0,user_role,4,0.25,0.1940036923747642,-0.07309672083441811,0.0,0.25,1,0,0.041384944896707763
age,20.0,current_perspective,4,0.25,0.15826733165328538,-0.12048014149889204,0.0,0.25,1,0,0.07326479857021283
age,20.0,represented_profile,4,0.25,0.1964082658211333,-0.07121897328864056,0.0,0.25,1,0,0.04931939799654489
age,20.0,user_role,4,0.25,0.16324762889088662,-0.11491536285525034,0.0,0.25,1,0,0.06838629694144527
education,0.0,current_perspective,3,0.3333333333333333,0.33333070370022,0.0,0.0,0.3333333333333333,1,0,0.0
education,0.0,represented_profile,3,0.3333333333333333,0.3333329373011215,0.0,0.0,0.3333333333333333,1,0,0.0
education,0.0,user_role,3,0.3333333333333333,0.33333176074930637,0.0,0.0,0.3333333333333333,1,0,0.0
education,2.0,current_perspective,3,0.3333333333333333,0.333329303736368,5.648927677848192e-07,0.0,0.3333333333333333,1,0,1.7417225811543076e-06
education,2.0,represented_profile,3,0.3333333333333333,0.3333313110342644,-2.403020450144252e-06,0.0,0.3333333333333333,1,0,0.00028966663291332646
education,2.0,user_role,3,0.3333333333333333,0.3320239486987374,-0.0019616514657485595,0.0,0.3333333333333333,1,0,0.0002177467870169285
education,4.0,current_perspective,3,0.3333333333333333,0.33331766553179865,-9.998744356513415e-06,0.0,0.3333333333333333,1,0,5.371164526737212e-06
education,4.0,represented_profile,3,0.3333333333333333,0.33332988544917913,-4.055002288542535e-06,0.0,0.3333333333333333,1,0,0.0005777988323886517
education,4.0,user_role,3,0.3333333333333333,0.33035732403001994,-0.004460829747823358,0.0,0.3333333333333333,1,0,0.0015592175581007172
education,6.0,current_perspective,3,0.3333333333333333,0.3333333196222504,3.163534758158596e-05,0.0,0.3333333333333333,1,0,1.582605178737759e-05
education,6.0,represented_profile,3,0.3333333333333333,0.33332817921405283,-5.7658041417255985e-06,0.0,0.3333333333333333,1,0,0.0007146957183397404
education,6.0,user_role,3,0.3333333333333333,0.3272109878244111,-0.00917862230162599,0.0,0.3333333333333333,1,0,0.0028372501464130947
education,8.0,current_perspective,3,0.3333333333333333,0.3332599100187388,-1.8358812018726134e-05,0.0,0.3333333333333333,1,0,6.954721413516333e-05
education,8.0,represented_profile,3,0.3333333333333333,0.33331977449781863,-1.4551372641132451e-05,0.0,0.3333333333333333,1,0,0.0009188060058535954
education,8.0,user_role,3,0.3333333333333333,0.3203461770114564,-0.019470575758531394,0.0,0.3333333333333333,1,0,0.00706146577553063
education,10.0,current_perspective,3,0.3333333333333333,0.3330997043547513,-8.534329259335394e-05,0.0,0.3333333333333333,1,0,0.00027553264053042616
education,10.0,represented_profile,3,0.3333333333333333,0.32931829629590337,-0.006007695320696597,0.0,0.3333333333333333,1,0,0.0005980309206533891
education,10.0,user_role,3,0.3333333333333333,0.3102092567339798,-0.034665607995473136,0.0,0.3333333333333333,1,0,0.013851438112974616
education,12.0,current_perspective,3,0.3333333333333333,0.33276385774715855,-0.0004074104642437515,0.0,0.3333333333333333,1,0,0.0004691919571612165
education,12.0,represented_profile,3,0.3333333333333333,0.32577272579336,-0.011307461432396618,0.0,0.3333333333333333,1,0,0.003949226132903876
education,12.0,user_role,3,0.3333333333333333,0.28513817610513303,-0.07221708619443264,0.0,0.3333333333333333,1,0,0.032287770974871184
education,14.0,current_perspective,3,0.3333333333333333,0.3316331457099757,-0.0019486268355296172,0.0,0.3333333333333333,1,0,0.0009138538217972719
education,14.0,represented_profile,3,0.3333333333333333,0.3185353504425326,-0.02213409099734816,0.0,0.3333333333333333,1,0,0.008601008198614141
education,14.0,user_role,3,0.3333333333333333,0.2729393242742772,-0.09039523654783066,0.0,0.3333333333333333,1,0,0.04249028786191087
education,16.0,current_perspective,3,0.3333333333333333,0.3297724046033141,-0.004314416905770539,0.0,0.3333333333333333,1,0,0.002000865472413163
education,16.0,represented_profile,3,0.3333333333333333,0.31797539975755734,-0.022904082689766698,0.0,0.3333333333333333,1,0,0.01087976548496592
education,16.0,user_role,3,0.3333333333333333,0.25108075156758536,-0.12290899418411598,0.0,0.3333333333333333,1,0,0.06100467017241203
education,18.0,current_perspective,3,0.3333333333333333,0.32769928570972956,-0.0064247319634119044,0.0,0.3333333333333333,1,0,0.003002003432428585
education,18.0,represented_profile,3,0.3333333333333333,0.31702373685070245,-0.024121574458156842,0.0,0.3333333333333333,1,0,0.016470970889779227
education,18.0,user_role,3,0.3333333333333333,0.2339954800816191,-0.1479481870746735,0.0,0.3333333333333333,1,0,0.07527617286419193
education,20.0,current_perspective,3,0.3333333333333333,0.33818152031257614,0.014461284700108509,0.0,0.3333333333333333,1,0,0.016066592229594587
education,20.0,represented_profile,3,0.3333333333333333,0.35983716870466065,0.04168179954100467,0.0,0.3333333333333333,1,0,0.04592282990650661
education,20.0,user_role,3,0.3333333333333333,0.22976426287176657,-0.15373410929018583,0.0,0.3333333333333333,1,0,0.08118579524144608
gender,0.0,current_perspective,2,0.0,3.880865154646594e-09,0.0,1.0,0.0,1,0,0.0
gender,0.0,represented_profile,2,0.0,1.746383674490603e-07,0.0,1.0,0.0,1,0,0.0
gender,0.0,user_role,2,0.0,1.033122199789909e-06,0.0,1.0,0.0,1,0,0.0
gender,2.0,current_perspective,2,0.0,3.398267864863245e-09,-3.972441223043756e-10,1.0,0.0,1,0,9.548496477866658e-11
gender,2.0,represented_profile,2,0.0,1.913674251275605e-07,4.3769514262452905e-09,1.0,0.0,1,0,6.535710048011416e-09
gender,2.0,user_role,2,0.0,1.7634923133307523e-06,9.046980955175035e-07,1.0,0.0,1,0,2.0836448654367028e-07
gender,4.0,current_perspective,2,0.0,4.944450130867125e-09,-5.779874268460785e-10,1.0,0.0,1,0,1.38929982472966e-10
gender,4.0,represented_profile,2,0.0,3.0844119172341914e-07,3.979920073430216e-08,1.0,0.0,1,0,9.397388022195648e-08
gender,4.0,user_role,2,0.0,3.191204156763226e-06,2.40518065541213e-06,1.0,0.0,1,0,1.011829375127573e-06
gender,6.0,current_perspective,2,0.0,4.983129408462991e-09,-1.5609664423318318e-09,1.0,0.0,1,0,2.3283477536911134e-10
gender,6.0,represented_profile,2,0.0,5.097941231870287e-07,1.5179517632377008e-07,1.0,0.0,1,0,2.6999371313557516e-07
gender,6.0,user_role,2,0.0,5.1468612768813305e-06,4.4453500035150975e-06,1.0,0.0,1,0,2.3870602814295865e-06
gender,8.0,current_perspective,2,0.0,1.0006570018153127e-08,-2.945670488537496e-09,1.0,0.0,1,0,5.32166681232466e-10
gender,8.0,represented_profile,2,0.0,1.8974443607241912e-06,9.245064850960882e-07,1.0,0.0,1,0,1.4705539751238919e-06
gender,8.0,user_role,2,0.0,1.0794713354753588e-05,9.956690701956032e-06,1.0,0.0,1,0,6.238832604625565e-06
gender,10.0,current_perspective,2,0.0,1.9460374289444724e-08,-4.0407363715809676e-09,1.0,0.0,1,0,2.5189031994912283e-10
