magnitude,mean_entropy_nats,mean_normalized_entropy,mean_effective_options,mean_top_mass,mean_nonordinal_mass,mean_top_is_nonordinal,mean_top_mass_ge_0_9,mean_near_uniform,mean_low_entropy,n_questions,n_conditions,delta_normalized_entropy_vs_n0,delta_top_mass_vs_n0,delta_nonordinal_mass_vs_n0
0.0,0.12512517339883292,0.09391702927633866,1.1667563447402105,0.949078595855762,0.0007711739198383008,0.0,0.8299595141700404,0.0,0.757085020242915,494,5928,0.0,0.0,0.0
2.0,0.12708011024345167,0.09511409047917492,1.1707525197179776,0.9476685540987241,0.0007117992348822638,0.0,0.8372132253711201,0.0,0.751855600539811,494,5928,0.001197061202836261,-0.0014100417570379609,-5.9374684956037043e-05
4.0,0.1286172078351783,0.09628320017891064,1.1736813008661373,0.9472995177824134,0.000730535460700519,0.00033738191632928474,0.8404183535762483,0.00033738191632928474,0.7515182186234818,494,5928,0.0023661709025719763,-0.00177907807334865,-4.063845913778179e-05
6.0,0.13235125538167491,0.09925073176555584,1.179433588003941,0.9457787195713214,0.0007977398178759119,0.0005060728744939271,0.8383940620782726,0.0006747638326585695,0.7422402159244265,494,5928,0.005333702489217176,-0.003299876284440617,2.656589803761106e-05
8.0,0.13967135318182125,0.10481759829247984,1.1896618957730323,0.9427895462378528,0.0008812453924259474,0.0005060728744939271,0.8275978407557355,0.001349527665317139,0.7309379217273954,494,5928,0.010900569016141184,-0.006289049617909215,0.00011007147258764664
10.0,0.14964610867021919,0.1124620877202215,1.2035706929267032,0.9387342300576089,0.0009866639792421774,0.0006747638326585695,0.8130904183535762,0.0011808367071524967,0.7115384615384616,494,5928,0.018545058443882836,-0.010344365798153121,0.0002154900594038766
12.0,0.1634270768238823,0.12295347967727953,1.2234261464732474,0.9332919027284984,0.001118921447603166,0.0010121457489878543,0.7965587044534413,0.001855600539811066,0.6882591093117408,494,5928,0.02903645040094087,-0.015786693127263662,0.00034774752776486526
14.0,0.18140672501341198,0.1364042163088259,1.2496851172654022,0.9257871640275394,0.0015198654420021823,0.0015182186234817814,0.7776653171390013,0.0016869095816464238,0.6600877192982456,494,5928,0.042487187032487245,-0.023291431828222686,0.0007486915221638815
16.0,0.20377270385720933,0.1532613296140652,1.2824625726186554,0.9167831049351561,0.0018413022792379966,0.0016869095816464238,0.7459514170040485,0.0021929824561403508,0.623144399460189,494,5928,0.05934430033772653,-0.03229549092060591,0.0010701283593996958
18.0,0.23596561297146434,0.17757494671395418,1.3306638774274544,0.9039015157269183,0.002222625490881852,0.0016869095816464238,0.706140350877193,0.00354251012145749,0.5676450742240216,494,5928,0.08365791743761553,-0.045177080128843694,0.001451451571043551
20.0,0.27850079920772797,0.2094741775726416,1.3972999687887855,0.8856696709070804,0.0025655289975757686,0.002699055330634278,0.664642375168691,0.003711201079622132,0.5016869095816464,494,5928,0.11555714829630295,-0.06340892494868167,0.0017943550777374678
