attribute,class_label,magnitude,mean_entropy_nats,mean_normalized_entropy,mean_effective_options,mean_top_mass,mean_nonordinal_mass,mean_top_is_nonordinal,mean_top_mass_ge_0_9,mean_near_uniform,mean_low_entropy,n_questions
age,adolescent,0.0,0.12512517339883292,0.09391702927633866,1.1667563447402107,0.949078595855762,0.0007711739198383008,0.0,0.8299595141700404,0.0,0.757085020242915,494
age,adolescent,2.0,0.12217524084223769,0.09081680145065912,1.163464809427806,0.9502474066000398,0.0005492458554019271,0.0,0.8481781376518218,0.0,0.7530364372469636,494
age,adolescent,4.0,0.12057544403964962,0.08919593648405322,1.1614302355178083,0.9530373812371783,0.0005486598824490907,0.0,0.8502024291497976,0.0,0.7611336032388664,494
age,adolescent,6.0,0.12147755411549781,0.08954864461401275,1.1636210276569565,0.9513382878705738,0.0005521475139200303,0.0,0.8582995951417004,0.0,0.7591093117408907,494
age,adolescent,8.0,0.1301814864893502,0.09570561169235535,1.1790541082133108,0.9455259806050929,0.0009071929011248922,0.0,0.8441295546558705,0.0,0.757085020242915,494
age,adolescent,10.0,0.13957611891157512,0.1032824080707629,1.192106122518346,0.9433969136439504,0.0017446636916947878,0.0020242914979757085,0.8299595141700404,0.0,0.7449392712550608,494
age,adolescent,12.0,0.1570675812685789,0.11678322210003196,1.2158134053504248,0.9368399980662584,0.0027232122812684795,0.0020242914979757085,0.7955465587044535,0.0020242914979757085,0.6983805668016194,494
age,adolescent,14.0,0.16870075186755346,0.12500114195993484,1.2370499473813699,0.9319722224079289,0.006846435691858272,0.008097165991902834,0.7834008097165992,0.0,0.6923076923076923,494
age,adolescent,16.0,0.1668533841132678,0.12459786532637603,1.234663364384057,0.9357259109021459,0.009511683655281138,0.010121457489878543,0.8117408906882592,0.0,0.6882591093117408,494
age,adolescent,18.0,0.19415441528082275,0.14527030027318702,1.2730591667922795,0.9230918404035392,0.01032370991447851,0.010121457489878543,0.7753036437246964,0.006072874493927126,0.6376518218623481,494
age,adolescent,20.0,0.25070725701015745,0.18481303737511734,1.3550423753716807,0.9003694592076082,0.00819046350524242,0.010121457489878543,0.7024291497975709,0.0,0.562753036437247,494
age,adult,0.0,0.12512517339883292,0.09391702927633866,1.1667563447402107,0.949078595855762,0.0007711739198383008,0.0,0.8299595141700404,0.0,0.757085020242915,494
age,adult,2.0,0.1306312334198499,0.09774281063432229,1.1774530042381723,0.9452306704149677,0.0006613555393610619,0.0,0.8380566801619433,0.0,0.7530364372469636,494
age,adult,4.0,0.13615970852107373,0.10174032016436776,1.186921005246467,0.9431327721842452,0.0005724715306944642,0.0,0.8319838056680162,0.0,0.7489878542510121,494
age,adult,6.0,0.1471966173996812,0.11041477354057555,1.2026744114696268,0.9388546531967015,0.0005988856059863458,0.0,0.8238866396761133,0.0020242914979757085,0.7246963562753036,494
age,adult,8.0,0.16686753005300614,0.1253320732836948,1.2309793709100956,0.9309240094218013,0.0006548162575046555,0.0,0.7975708502024291,0.004048582995951417,0.6923076923076923,494
age,adult,10.0,0.19125775878770765,0.14352510284535103,1.2653069030665012,0.9220991373496649,0.0006023093595513794,0.0,0.7489878542510121,0.004048582995951417,0.6538461538461539,494
