income_group,occupation_cue,prompt_declaration,occupation_title,soc_code,median_annual_wage_usd,typical_entry_education,related_work_experience,on_the_job_training,percent_women,cps_employment_thousands,TOT_EMP,ascending_wage_rank,descending_wage_rank,oews_year,education_assignment_year,cps_year,oews_source,education_source,sex_composition_source
low,tour guide,I work as a tour guide.,Tour and travel guides,39-7010,38120.0,High school diploma or equivalent,,Moderate-term on-the-job training,43.6,56,53500,1,27,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
low,production helper,I work as a production helper.,Helpers--production workers,51-9198,39070.0,High school diploma or equivalent,,Short-term on-the-job training,49.5,68,165700,2,26,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
low,mail clerk outside the postal service,I work as a mail clerk outside the postal service.,"Mail clerks and mail machine operators, except postal service",43-9051,39280.0,High school diploma or equivalent,,Short-term on-the-job training,48.5,63,55230,3,25,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
low,personal care worker,I work as a personal care worker.,"Personal care and service workers, all other",39-9099,41600.0,High school diploma or equivalent,,Short-term on-the-job training,62.7,147,60420,4,24,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
low,packaging machine operator,I work as a packaging machine operator.,Packaging and filling machine operators and tenders,51-9111,43220.0,High school diploma or equivalent,,Moderate-term on-the-job training,56.4,242,379060,5,23,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
low,food preparation and service supervisor,I work as a food preparation and service supervisor.,First-line supervisors of food preparation and serving workers,35-1012,44080.0,High school diploma or equivalent,Less than 5 years,,58.2,527,1223240,6,22,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
low,reservation and transportation ticket agent,I work as a reservation and transportation ticket agent.,Reservation and transportation ticket agents and travel clerks,43-4181,44390.0,High school diploma or equivalent,,Short-term on-the-job training,44.8,125,118710,7,21,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
low,photographer,I work as a photographer.,Photographers,27-4021,44660.0,High school diploma or equivalent,,Moderate-term on-the-job training,50.7,216,51760,8,20,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
low,customer service representative,I work as a customer service representative.,Customer service representatives,43-4051,44770.0,High school diploma or equivalent,,Short-term on-the-job training,64.8,"2,600",2595750,9,19,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
low,recordkeeping checker and sampler,I work as a recordkeeping checker and sampler.,"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,46380.0,High school diploma or equivalent,,Short-term on-the-job training,53.9,91,53300,10,18,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
not_selected,school bus driver,I work as a school bus driver.,"Bus drivers, school",53-3051,47920.0,High school diploma or equivalent,,Short-term on-the-job training,51.8,210,402930,11,17,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
not_selected,sales worker,I work as a sales worker.,"Sales and related workers, all other",41-9099,48280.0,High school diploma or equivalent,,,47.3,476,93180,12,16,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
not_selected,retail sales supervisor,I work as a retail sales supervisor.,First-line supervisors of retail sales workers,41-1011,48520.0,High school diploma or equivalent,Less than 5 years,,43.9,"2,977",1121800,13,15,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
not_selected,product inspector and tester,I work as a product inspector and tester.,"Inspectors, testers, sorters, samplers, and weighers",51-9061,48570.0,High school diploma or equivalent,,Moderate-term on-the-job training,35.8,737,597370,14,14,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
not_selected,housekeeping and janitorial supervisor,I work as a housekeeping and janitorial supervisor.,First-line supervisors of housekeeping and janitorial workers,37-1011,49100.0,High school diploma or equivalent,Less than 5 years,,48.5,354,178760,15,13,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
not_selected,dispatcher outside emergency services,I work as a dispatcher outside emergency services.,"Dispatchers, except police, fire, and ambulance",43-5032,50340.0,High school diploma or equivalent,,Moderate-term on-the-job training,61.7,180,202810,16,12,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
not_selected,private investigator,I work as a private investigator.,Private detectives and investigators,33-9021,51220.0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,44.5,154,35580,17,11,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
high,financial clerk,I work as a financial clerk.,"Financial clerks, all other",43-3099,53830.0,High school diploma or equivalent,,Short-term on-the-job training,41.9,161,36260,18,10,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
high,tax preparer,I work as a tax preparer.,Tax preparers,13-2082,54920.0,High school diploma or equivalent,,Moderate-term on-the-job training,57.3,134,76480,19,9,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
high,transit and intercity bus driver,I work as a transit and intercity bus driver.,"Bus drivers, transit and intercity",53-3052,59050.0,High school diploma or equivalent,,Moderate-term on-the-job training,36.7,268,159240,20,8,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
high,production planning clerk,I work as a production planning clerk.,"Production, planning, and expediting clerks",43-5061,59650.0,High school diploma or equivalent,,Moderate-term on-the-job training,45.4,212,390160,21,7,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
high,insurance sales agent,I work as a insurance sales agent.,Insurance sales agents,41-3021,62280.0,High school diploma or equivalent,,Moderate-term on-the-job training,52.4,618,479100,22,6,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
high,advertising sales agent,I work as a advertising sales agent.,Advertising sales agents,41-3011,64820.0,High school diploma or equivalent,,Moderate-term on-the-job training,44.0,138,91700,23,5,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
high,lodging manager,I work as a lodging manager.,Lodging managers,11-9081,69250.0,High school diploma or equivalent,Less than 5 years,,52.5,117,42620,24,4,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
high,food service manager,I work as a food service manager.,Food service managers,11-9051,69390.0,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,48.8,"1,159",238430,25,3,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
high,personal service manager,I work as a personal service manager.,"Personal service managers, all other",11-9179,69770.0,High school diploma or equivalent,Less than 5 years,,64.3,184,10450,26,2,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
high,property manager,I work as a property manager.,"Property, real estate, and community association managers",11-9141,69990.0,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,50.6,790,311180,27,1,2025,2025,2025,https://www.bls.gov/oes/tables.htm,https://www.bls.gov/emp/tables/education-and-training-by-occupation.htm,https://www.bls.gov/cps/cpsaat11.htm
