attribute,channel,layer,validation_accuracy,balanced_accuracy,macro_f1,validation_loss,majority_baseline,accuracy_over_baseline,best_epoch,train_examples,validation_examples,checkpoint
age,controlling,0,0.25,0.25,0.1,0.5746653378009796,0.25,0.0,50,3200,800,age_probe_at_layer_0.pth
age,controlling,1,0.67875,0.67875,0.6546556788702748,0.5408470779657364,0.25,0.42874999999999996,50,3200,800,age_probe_at_layer_1.pth
age,controlling,2,0.77375,0.7737499999999999,0.7695901046037492,0.49626149237155914,0.25,0.52375,48,3200,800,age_probe_at_layer_2.pth
age,controlling,3,0.82875,0.82875,0.8271354119842658,0.4303591772913933,0.25,0.57875,49,3200,800,age_probe_at_layer_3.pth
age,controlling,4,0.8225,0.8225,0.8219420261094151,0.4020066037774086,0.25,0.5725,49,3200,800,age_probe_at_layer_4.pth
age,controlling,5,0.83875,0.83875,0.838177010238606,0.34510721266269684,0.25,0.58875,50,3200,800,age_probe_at_layer_5.pth
age,controlling,6,0.8575,0.8574999999999999,0.8570220229386816,0.31066418439149857,0.25,0.6075,49,3200,800,age_probe_at_layer_6.pth
age,controlling,7,0.8575,0.8574999999999999,0.8567449346449121,0.28825127333402634,0.25,0.6075,50,3200,800,age_probe_at_layer_7.pth
age,controlling,8,0.86625,0.86625,0.8653202471037396,0.27089571207761765,0.25,0.61625,48,3200,800,age_probe_at_layer_8.pth
age,controlling,9,0.8725,0.8725,0.8713020375351691,0.26463939994573593,0.25,0.6225,47,3200,800,age_probe_at_layer_9.pth
age,controlling,10,0.88125,0.88125,0.8808763926297054,0.24102747812867165,0.25,0.63125,50,3200,800,age_probe_at_layer_10.pth
age,controlling,11,0.87125,0.87125,0.8706663303121779,0.24074246734380722,0.25,0.62125,49,3200,800,age_probe_at_layer_11.pth
age,controlling,12,0.88375,0.88375,0.8832957529987543,0.22281666845083237,0.25,0.63375,50,3200,800,age_probe_at_layer_12.pth
age,controlling,13,0.90625,0.90625,0.9059259563602317,0.20232568308711052,0.25,0.65625,50,3200,800,age_probe_at_layer_13.pth
age,controlling,14,0.91125,0.91125,0.9113270402827365,0.19225086271762848,0.25,0.66125,50,3200,800,age_probe_at_layer_14.pth
age,controlling,15,0.915,0.915,0.9152204456086317,0.1834115907549858,0.25,0.665,46,3200,800,age_probe_at_layer_15.pth
age,controlling,16,0.92875,0.92875,0.9283636113128166,0.1545511893928051,0.25,0.67875,48,3200,800,age_probe_at_layer_16.pth
age,controlling,17,0.925,0.925,0.9249554887810842,0.13956499099731445,0.25,0.675,49,3200,800,age_probe_at_layer_17.pth
age,controlling,18,0.93,0.9299999999999999,0.9298613562256286,0.13999436423182487,0.25,0.68,50,3200,800,age_probe_at_layer_18.pth
age,controlling,19,0.94125,0.9412499999999999,0.9413112480017467,0.1146661601960659,0.25,0.69125,49,3200,800,age_probe_at_layer_19.pth
age,controlling,20,0.95,0.95,0.9500648162144112,0.10344447568058968,0.25,0.7,50,3200,800,age_probe_at_layer_20.pth
age,controlling,21,0.9575,0.9575,0.9575942150422931,0.09437227621674538,0.25,0.7075,48,3200,800,age_probe_at_layer_21.pth
age,controlling,22,0.95875,0.95875,0.9587766275938319,0.0889668632298708,0.25,0.70875,50,3200,800,age_probe_at_layer_22.pth
age,controlling,23,0.965,0.965,0.9650841866589526,0.08722619153559208,0.25,0.715,45,3200,800,age_probe_at_layer_23.pth
age,controlling,24,0.96625,0.9662499999999999,0.9663079099310543,0.08496248535811901,0.25,0.71625,47,3200,800,age_probe_at_layer_24.pth
age,controlling,25,0.965,0.965,0.9651015725120505,0.0857936404645443,0.25,0.715,41,3200,800,age_probe_at_layer_25.pth
age,controlling,26,0.96375,0.96375,0.9637547887954625,0.08074678853154182,0.25,0.71375,47,3200,800,age_probe_at_layer_26.pth
age,controlling,27,0.9675,0.9675,0.9675979468693889,0.07887857779860497,0.25,0.7175,45,3200,800,age_probe_at_layer_27.pth
age,controlling,28,0.965,0.965,0.965106672773639,0.07639473304152489,0.25,0.715,48,3200,800,age_probe_at_layer_28.pth
age,controlling,29,0.96625,0.9662499999999999,0.9662466640416502,0.07626746594905853,0.25,0.71625,41,3200,800,age_probe_at_layer_29.pth
age,controlling,30,0.96625,0.9662499999999999,0.9663174006799213,0.07077271398156881,0.25,0.71625,45,3200,800,age_probe_at_layer_30.pth
age,controlling,31,0.97,0.97,0.969981148319677,0.06619211379438639,0.25,0.72,50,3200,800,age_probe_at_layer_31.pth
age,controlling,32,0.97375,0.97375,0.9737148167777481,0.06279827374964952,0.25,0.72375,44,3200,800,age_probe_at_layer_32.pth
