attribute,channel,layer,validation_accuracy,balanced_accuracy,macro_f1,validation_loss,majority_baseline,accuracy_over_baseline,best_epoch,train_examples,validation_examples,checkpoint
education,controlling,0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.636954751279619,0.3333333333333333,0.0,50,3599,900,education_probe_at_layer_0.pth
education,controlling,1,0.7277777777777777,0.7277777777777779,0.6904020171429835,0.5941397282812331,0.3333333333333333,0.39444444444444443,40,3599,900,education_probe_at_layer_1.pth
education,controlling,2,0.7766666666666666,0.7766666666666667,0.7603782370964657,0.5316379732555814,0.3333333333333333,0.4433333333333333,45,3599,900,education_probe_at_layer_2.pth
education,controlling,3,0.7966666666666666,0.7966666666666667,0.7868563930240023,0.4707423150539398,0.3333333333333333,0.4633333333333333,48,3599,900,education_probe_at_layer_3.pth
education,controlling,4,0.7922222222222223,0.7922222222222223,0.78272347947564,0.44395419624116683,0.3333333333333333,0.45888888888888896,49,3599,900,education_probe_at_layer_4.pth
education,controlling,5,0.7988888888888889,0.7988888888888889,0.7931330161778938,0.3937373393111759,0.3333333333333333,0.46555555555555556,50,3599,900,education_probe_at_layer_5.pth
education,controlling,6,0.8111111111111111,0.8111111111111112,0.80960052922768,0.3684469825691647,0.3333333333333333,0.4777777777777778,50,3599,900,education_probe_at_layer_6.pth
education,controlling,7,0.8155555555555556,0.8155555555555556,0.8150927315602375,0.35552749037742615,0.3333333333333333,0.4822222222222223,48,3599,900,education_probe_at_layer_7.pth
education,controlling,8,0.8255555555555556,0.8255555555555555,0.8246179442623002,0.34198460314008927,0.3333333333333333,0.4922222222222223,50,3599,900,education_probe_at_layer_8.pth
education,controlling,9,0.8322222222222222,0.8322222222222222,0.8286220352564574,0.33649660812483895,0.3333333333333333,0.4988888888888889,49,3599,900,education_probe_at_layer_9.pth
education,controlling,10,0.8333333333333334,0.8333333333333334,0.8325549375002872,0.32669774028990006,0.3333333333333333,0.5,50,3599,900,education_probe_at_layer_10.pth
education,controlling,11,0.8322222222222222,0.8322222222222222,0.830518087339929,0.3223104046450721,0.3333333333333333,0.4988888888888889,50,3599,900,education_probe_at_layer_11.pth
education,controlling,12,0.8322222222222222,0.8322222222222222,0.8315877385863212,0.31828576657507157,0.3333333333333333,0.4988888888888889,49,3599,900,education_probe_at_layer_12.pth
education,controlling,13,0.8322222222222222,0.8322222222222222,0.8329267631266832,0.3106130195988549,0.3333333333333333,0.4988888888888889,50,3599,900,education_probe_at_layer_13.pth
education,controlling,14,0.8288888888888889,0.8288888888888888,0.827502468079901,0.3015402919716305,0.3333333333333333,0.4955555555555556,49,3599,900,education_probe_at_layer_14.pth
education,controlling,15,0.86,0.86,0.8597752269520272,0.2929959131611718,0.3333333333333333,0.5266666666666666,47,3599,900,education_probe_at_layer_15.pth
education,controlling,16,0.87,0.8700000000000001,0.8685378048693059,0.26961953606870437,0.3333333333333333,0.5366666666666666,50,3599,900,education_probe_at_layer_16.pth
education,controlling,17,0.8877777777777778,0.8877777777777777,0.8883691254279489,0.25932379563649494,0.3333333333333333,0.5544444444444445,49,3599,900,education_probe_at_layer_17.pth
education,controlling,18,0.8855555555555555,0.8855555555555555,0.8866708562001735,0.25891294909848106,0.3333333333333333,0.5522222222222222,50,3599,900,education_probe_at_layer_18.pth
education,controlling,19,0.8977777777777778,0.8977777777777778,0.8974599562679382,0.23502261108822292,0.3333333333333333,0.5644444444444445,47,3599,900,education_probe_at_layer_19.pth
education,controlling,20,0.9011111111111111,0.9011111111111111,0.900537024085932,0.2224715467956331,0.3333333333333333,0.5677777777777777,47,3599,900,education_probe_at_layer_20.pth
education,controlling,21,0.9022222222222223,0.9022222222222221,0.9014276345855711,0.20910337070624033,0.3333333333333333,0.568888888888889,49,3599,900,education_probe_at_layer_21.pth
education,controlling,22,0.8988888888888888,0.898888888888889,0.8993010102596702,0.20247352619965872,0.3333333333333333,0.5655555555555556,50,3599,900,education_probe_at_layer_22.pth
education,controlling,23,0.9044444444444445,0.9044444444444445,0.9047280952130028,0.1969158434205585,0.3333333333333333,0.5711111111111111,50,3599,900,education_probe_at_layer_23.pth
education,controlling,24,0.9033333333333333,0.9033333333333333,0.9032697838220306,0.19295762810442182,0.3333333333333333,0.5700000000000001,49,3599,900,education_probe_at_layer_24.pth
education,controlling,25,0.91,0.91,0.9104470143671541,0.1901785367065006,0.3333333333333333,0.5766666666666667,50,3599,900,education_probe_at_layer_25.pth
education,controlling,26,0.9111111111111111,0.9111111111111111,0.9111434378806801,0.1838874121507009,0.3333333333333333,0.5777777777777777,50,3599,900,education_probe_at_layer_26.pth
education,controlling,27,0.9155555555555556,0.9155555555555556,0.9152338266972414,0.1809390899207857,0.3333333333333333,0.5822222222222222,50,3599,900,education_probe_at_layer_27.pth
education,controlling,28,0.9111111111111111,0.9111111111111111,0.9112127452578139,0.1822966155078676,0.3333333333333333,0.5777777777777777,49,3599,900,education_probe_at_layer_28.pth
education,controlling,29,0.9233333333333333,0.9233333333333333,0.9231901471357018,0.17580157021681467,0.3333333333333333,0.5900000000000001,50,3599,900,education_probe_at_layer_29.pth
education,controlling,30,0.9277777777777778,0.9277777777777777,0.9277980432661694,0.166181238161193,0.3333333333333333,0.5944444444444446,46,3599,900,education_probe_at_layer_30.pth
education,controlling,31,0.9311111111111111,0.931111111111111,0.9311939538223823,0.15727983911832175,0.3333333333333333,0.5977777777777777,46,3599,900,education_probe_at_layer_31.pth
education,controlling,32,0.9333333333333333,0.9333333333333332,0.9336614465177341,0.177518669101927,0.3333333333333333,0.6000000000000001,48,3599,900,education_probe_at_layer_32.pth
