attribute,channel,layer,validation_accuracy,balanced_accuracy,macro_f1,validation_loss,majority_baseline,accuracy_over_baseline,best_epoch,train_examples,validation_examples,checkpoint
gender,controlling,0,0.5,0.5,0.3333333333333333,0.6931471178929011,0.5,0.0,24,1920,480,gender_probe_at_layer_0.pth
gender,controlling,1,0.7479166666666667,0.7479166666666667,0.7477842095892374,0.6865984400113424,0.5,0.24791666666666667,46,1920,480,gender_probe_at_layer_1.pth
gender,controlling,2,0.6729166666666667,0.6729166666666666,0.6713633449769092,0.6813657830158869,0.5,0.17291666666666672,29,1920,480,gender_probe_at_layer_2.pth
gender,controlling,3,0.7145833333333333,0.7145833333333333,0.713057706992473,0.6643262654542923,0.5,0.21458333333333335,36,1920,480,gender_probe_at_layer_3.pth
gender,controlling,4,0.69375,0.69375,0.6927779301696775,0.6462162931760153,0.5,0.19374999999999998,50,1920,480,gender_probe_at_layer_4.pth
gender,controlling,5,0.7020833333333333,0.7020833333333333,0.7017921146953405,0.6292624821265539,0.5,0.20208333333333328,45,1920,480,gender_probe_at_layer_5.pth
gender,controlling,6,0.6958333333333333,0.6958333333333333,0.6954949944382648,0.6208948691685995,0.5,0.1958333333333333,50,1920,480,gender_probe_at_layer_6.pth
gender,controlling,7,0.6875,0.6875,0.6874511642444132,0.6164757460355759,0.5,0.1875,50,1920,480,gender_probe_at_layer_7.pth
gender,controlling,8,0.7,0.7,0.6999947915762426,0.6119899451732635,0.5,0.19999999999999996,49,1920,480,gender_probe_at_layer_8.pth
gender,controlling,9,0.7020833333333333,0.7020833333333334,0.7011377143827475,0.6092666188875834,0.5,0.20208333333333328,49,1920,480,gender_probe_at_layer_9.pth
gender,controlling,10,0.6979166666666666,0.6979166666666667,0.6979048660754977,0.6030468245347341,0.5,0.19791666666666663,49,1920,480,gender_probe_at_layer_10.pth
gender,controlling,11,0.7,0.7,0.699812382739212,0.598089928428332,0.5,0.19999999999999996,50,1920,480,gender_probe_at_layer_11.pth
gender,controlling,12,0.69375,0.69375,0.6937486707841614,0.5893246680498123,0.5,0.19374999999999998,48,1920,480,gender_probe_at_layer_12.pth
gender,controlling,13,0.7145833333333333,0.7145833333333333,0.7142248740825079,0.5764495233694712,0.5,0.21458333333333335,49,1920,480,gender_probe_at_layer_13.pth
gender,controlling,14,0.7083333333333334,0.7083333333333334,0.7080088987764181,0.5741248428821564,0.5,0.20833333333333337,48,1920,480,gender_probe_at_layer_14.pth
gender,controlling,15,0.7125,0.7124999999999999,0.7123751628310899,0.5708440442879995,0.5,0.21250000000000002,48,1920,480,gender_probe_at_layer_15.pth
gender,controlling,16,0.73125,0.73125,0.729075786148387,0.5419673770666122,0.5,0.23124999999999996,45,1920,480,gender_probe_at_layer_16.pth
gender,controlling,17,0.74375,0.74375,0.7429366354480975,0.5169304112593333,0.5,0.24375000000000002,50,1920,480,gender_probe_at_layer_17.pth
gender,controlling,18,0.75,0.75,0.7488839285714286,0.5300348401069641,0.5,0.25,44,1920,480,gender_probe_at_layer_18.pth
gender,controlling,19,0.79375,0.79375,0.7930953407265176,0.4774175708492597,0.5,0.29374999999999996,46,1920,480,gender_probe_at_layer_19.pth
gender,controlling,20,0.8520833333333333,0.8520833333333333,0.852067281606077,0.41994285335143405,0.5,0.3520833333333333,48,1920,480,gender_probe_at_layer_20.pth
gender,controlling,21,0.8583333333333333,0.8583333333333334,0.8582939705473743,0.38814647992451984,0.5,0.3583333333333333,50,1920,480,gender_probe_at_layer_21.pth
gender,controlling,22,0.8604166666666667,0.8604166666666666,0.8603869746604096,0.37260762602090836,0.5,0.3604166666666667,50,1920,480,gender_probe_at_layer_22.pth
gender,controlling,23,0.86875,0.86875,0.868585161074438,0.36809244751930237,0.5,0.36875,47,1920,480,gender_probe_at_layer_23.pth
gender,controlling,24,0.875,0.875,0.8749218261413383,0.35628138730923337,0.5,0.375,46,1920,480,gender_probe_at_layer_24.pth
gender,controlling,25,0.88125,0.8812500000000001,0.8810222691871161,0.3410796696941058,0.5,0.38125,50,1920,480,gender_probe_at_layer_25.pth
gender,controlling,26,0.88125,0.8812500000000001,0.8812247396364679,0.3368574430545171,0.5,0.38125,48,1920,480,gender_probe_at_layer_26.pth
gender,controlling,27,0.8854166666666666,0.8854166666666667,0.8853922926316795,0.3313204323252042,0.5,0.38541666666666663,49,1920,480,gender_probe_at_layer_27.pth
gender,controlling,28,0.8875,0.8875,0.8873748609566183,0.33604348450899124,0.5,0.38749999999999996,45,1920,480,gender_probe_at_layer_28.pth
gender,controlling,29,0.8875,0.8875,0.887498046841091,0.31560441851615906,0.5,0.38749999999999996,48,1920,480,gender_probe_at_layer_29.pth
gender,controlling,30,0.8958333333333334,0.8958333333333334,0.8958315248528621,0.3085064540306727,0.5,0.39583333333333337,46,1920,480,gender_probe_at_layer_30.pth
gender,controlling,31,0.8979166666666667,0.8979166666666667,0.8978949516173145,0.2956342746814092,0.5,0.3979166666666667,50,1920,480,gender_probe_at_layer_31.pth
gender,controlling,32,0.8979166666666667,0.8979166666666667,0.8979162235947205,0.3097631906469663,0.5,0.3979166666666667,30,1920,480,gender_probe_at_layer_32.pth
