attribute,channel,layer,validation_accuracy,balanced_accuracy,macro_f1,validation_loss,majority_baseline,accuracy_over_baseline,best_epoch,train_examples,validation_examples,checkpoint
socioeconomic,controlling,0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6397219896316528,0.3333333333333333,0.0,50,2400,600,socioeconomic_probe_at_layer_0.pth
socioeconomic,controlling,1,0.75,0.75,0.7277341709392502,0.6167845129966736,0.3333333333333333,0.4166666666666667,35,2400,600,socioeconomic_probe_at_layer_1.pth
socioeconomic,controlling,2,0.7533333333333333,0.7533333333333333,0.7486378188612205,0.6075685421625773,0.3333333333333333,0.42,19,2400,600,socioeconomic_probe_at_layer_2.pth
socioeconomic,controlling,3,0.7966666666666666,0.7966666666666667,0.7917410593799722,0.5239594380060831,0.3333333333333333,0.4633333333333333,49,2400,600,socioeconomic_probe_at_layer_3.pth
socioeconomic,controlling,4,0.79,0.79,0.7846214589693861,0.5042216777801514,0.3333333333333333,0.4566666666666667,48,2400,600,socioeconomic_probe_at_layer_4.pth
socioeconomic,controlling,5,0.81,0.81,0.8071419430140093,0.46570595105489093,0.3333333333333333,0.47666666666666674,48,2400,600,socioeconomic_probe_at_layer_5.pth
socioeconomic,controlling,6,0.825,0.8250000000000001,0.8214061800268698,0.43290574351946515,0.3333333333333333,0.49166666666666664,50,2400,600,socioeconomic_probe_at_layer_6.pth
socioeconomic,controlling,7,0.8333333333333334,0.8333333333333334,0.8318281742234231,0.4189884563287099,0.3333333333333333,0.5,50,2400,600,socioeconomic_probe_at_layer_7.pth
socioeconomic,controlling,8,0.8283333333333334,0.8283333333333333,0.825221206559949,0.4051123857498169,0.3333333333333333,0.49500000000000005,48,2400,600,socioeconomic_probe_at_layer_8.pth
socioeconomic,controlling,9,0.8216666666666667,0.8216666666666667,0.8173189692687456,0.3869430621465047,0.3333333333333333,0.48833333333333334,50,2400,600,socioeconomic_probe_at_layer_9.pth
socioeconomic,controlling,10,0.85,0.85,0.8476958947320364,0.3688122034072876,0.3333333333333333,0.5166666666666666,48,2400,600,socioeconomic_probe_at_layer_10.pth
socioeconomic,controlling,11,0.8466666666666667,0.8466666666666667,0.8440034144259497,0.37461891770362854,0.3333333333333333,0.5133333333333334,45,2400,600,socioeconomic_probe_at_layer_11.pth
socioeconomic,controlling,12,0.8366666666666667,0.8366666666666666,0.8349926371833588,0.33968210220336914,0.3333333333333333,0.5033333333333334,50,2400,600,socioeconomic_probe_at_layer_12.pth
socioeconomic,controlling,13,0.845,0.8450000000000001,0.8435184589115634,0.32858873407046,0.3333333333333333,0.5116666666666667,47,2400,600,socioeconomic_probe_at_layer_13.pth
socioeconomic,controlling,14,0.85,0.85,0.8486423591661371,0.326974352200826,0.3333333333333333,0.5166666666666666,40,2400,600,socioeconomic_probe_at_layer_14.pth
socioeconomic,controlling,15,0.875,0.875,0.8738637529943961,0.2787828594446182,0.3333333333333333,0.5416666666666667,50,2400,600,socioeconomic_probe_at_layer_15.pth
