attribute,channel,layer,decoder_layer,validation_accuracy,balanced_accuracy,macro_f1,validation_loss,majority_baseline,accuracy_over_baseline,best_epoch,train_examples,validation_examples,checkpoint,rank
gender,reading,23,22,0.91875,0.91875,0.9187327165933727,0.26584914823373157,0.5,0.41874999999999996,48,1920,480,gender_probe_at_layer_23.pth,1
gender,reading,32,31,0.91875,0.91875,0.9187073072229774,0.22393347571293512,0.5,0.41874999999999996,37,1920,480,gender_probe_at_layer_32.pth,2
gender,reading,27,26,0.9166666666666666,0.9166666666666667,0.9166435120866907,0.25824268783132237,0.5,0.41666666666666663,47,1920,480,gender_probe_at_layer_27.pth,3
gender,reading,28,27,0.9166666666666666,0.9166666666666667,0.9166435120866907,0.2558562209208806,0.5,0.41666666666666663,50,1920,480,gender_probe_at_layer_28.pth,4
gender,reading,26,25,0.9145833333333333,0.9145833333333333,0.9145206336244902,0.25945216541488964,0.5,0.4145833333333333,49,1920,480,gender_probe_at_layer_26.pth,5
gender,reading,29,28,0.9145833333333333,0.9145833333333333,0.9145740640260446,0.24902797490358353,0.5,0.4145833333333333,47,1920,480,gender_probe_at_layer_29.pth,6
gender,reading,21,20,0.9125,0.9125000000000001,0.9124863259884357,0.28010009477535885,0.5,0.4125,43,1920,480,gender_probe_at_layer_21.pth,7
gender,reading,22,21,0.9125,0.9125,0.9124939231891103,0.2713382616639137,0.5,0.4125,48,1920,480,gender_probe_at_layer_22.pth,8
gender,reading,25,24,0.9125,0.9125000000000001,0.9124756876910254,0.26337948565681774,0.5,0.4125,46,1920,480,gender_probe_at_layer_25.pth,9
gender,reading,30,29,0.9125,0.9125000000000001,0.9124756876910254,0.25318993379672367,0.5,0.4125,42,1920,480,gender_probe_at_layer_30.pth,10
gender,reading,31,30,0.9125,0.9125,0.9124984808764041,0.24006260186433792,0.5,0.4125,48,1920,480,gender_probe_at_layer_31.pth,11
gender,reading,24,23,0.9083333333333333,0.9083333333333333,0.9082552866153499,0.269383209447066,0.5,0.4083333333333333,45,1920,480,gender_probe_at_layer_24.pth,12
gender,reading,20,19,0.90625,0.90625,0.9062398263700489,0.28866694619258243,0.5,0.40625,41,1920,480,gender_probe_at_layer_20.pth,13
gender,reading,19,18,0.9,0.9,0.8999982638587475,0.29883693406979245,0.5,0.4,48,1920,480,gender_probe_at_layer_19.pth,14
gender,reading,17,16,0.8583333333333333,0.8583333333333334,0.8581757508342602,0.3799079532424609,0.5,0.3583333333333333,48,1920,480,gender_probe_at_layer_17.pth,15
