attribute,channel,layer,validation_accuracy,balanced_accuracy,macro_f1,validation_loss,majority_baseline,accuracy_over_baseline,best_epoch,train_examples,validation_examples,checkpoint
age,reading,0,0.25,0.25,0.1,0.5623352825641632,0.25,0.0,45,3200,800,age_probe_at_layer_0.pth
age,reading,1,0.83875,0.83875,0.838786196440622,0.5513397604227066,0.25,0.58875,23,3200,800,age_probe_at_layer_1.pth
age,reading,2,0.85625,0.85625,0.8547857687860274,0.5252156853675842,0.25,0.60625,38,3200,800,age_probe_at_layer_2.pth
age,reading,3,0.87625,0.87625,0.8754841367091563,0.47132447361946106,0.25,0.62625,47,3200,800,age_probe_at_layer_3.pth
age,reading,4,0.8275,0.8275,0.824226900759008,0.3775959685444832,0.25,0.5775,50,3200,800,age_probe_at_layer_4.pth
age,reading,5,0.85375,0.85375,0.8515702351053316,0.3433365374803543,0.25,0.60375,50,3200,800,age_probe_at_layer_5.pth
age,reading,6,0.88375,0.88375,0.8823622566161471,0.2718561962246895,0.25,0.63375,50,3200,800,age_probe_at_layer_6.pth
age,reading,7,0.9125,0.9125,0.9118401277968703,0.2420886754989624,0.25,0.6625,48,3200,800,age_probe_at_layer_7.pth
age,reading,8,0.93125,0.93125,0.9310549706427804,0.20845593139529228,0.25,0.68125,50,3200,800,age_probe_at_layer_8.pth
age,reading,9,0.93625,0.93625,0.9361783827778147,0.189929086714983,0.25,0.68625,50,3200,800,age_probe_at_layer_9.pth
age,reading,10,0.93375,0.93375,0.9337224450833383,0.17379726469516754,0.25,0.68375,50,3200,800,age_probe_at_layer_10.pth
age,reading,11,0.93,0.9299999999999999,0.9297703148130984,0.166427131742239,0.25,0.68,50,3200,800,age_probe_at_layer_11.pth
age,reading,12,0.93625,0.93625,0.9362295414049655,0.1725069135427475,0.25,0.68625,44,3200,800,age_probe_at_layer_12.pth
age,reading,13,0.93875,0.93875,0.9388347461969015,0.14772159233689308,0.25,0.68875,50,3200,800,age_probe_at_layer_13.pth
age,reading,14,0.94875,0.94875,0.9488534422441403,0.1386876255273819,0.25,0.69875,50,3200,800,age_probe_at_layer_14.pth
age,reading,15,0.94875,0.94875,0.948650235677382,0.13492701947689056,0.25,0.69875,50,3200,800,age_probe_at_layer_15.pth
age,reading,16,0.96625,0.96625,0.9663420494272723,0.11813345737755299,0.25,0.71625,44,3200,800,age_probe_at_layer_16.pth
age,reading,17,0.9675,0.9675,0.9675518039368589,0.10584145039319992,0.25,0.7175,45,3200,800,age_probe_at_layer_17.pth
age,reading,18,0.96875,0.96875,0.9688298226518121,0.09991814941167831,0.25,0.71875,46,3200,800,age_probe_at_layer_18.pth
age,reading,19,0.96875,0.96875,0.9689238732353602,0.09111761674284935,0.25,0.71875,44,3200,800,age_probe_at_layer_19.pth
age,reading,20,0.97,0.97,0.9700432618807259,0.08095190860331059,0.25,0.72,47,3200,800,age_probe_at_layer_20.pth
age,reading,21,0.965,0.965,0.9650975529728127,0.07621350884437561,0.25,0.715,49,3200,800,age_probe_at_layer_21.pth
age,reading,22,0.96875,0.96875,0.9688016764733045,0.07502475008368492,0.25,0.71875,49,3200,800,age_probe_at_layer_22.pth
age,reading,23,0.9725,0.9724999999999999,0.9725774371919036,0.07918008416891098,0.25,0.7225,38,3200,800,age_probe_at_layer_23.pth
age,reading,24,0.9675,0.9675,0.9675705257465197,0.06857334263622761,0.25,0.7175,50,3200,800,age_probe_at_layer_24.pth
age,reading,25,0.97,0.97,0.9700506485103295,0.06896018609404564,0.25,0.72,49,3200,800,age_probe_at_layer_25.pth
age,reading,26,0.97375,0.97375,0.9737987006797786,0.0649212934076786,0.25,0.72375,47,3200,800,age_probe_at_layer_26.pth
age,reading,27,0.9675,0.9675,0.9675475730156728,0.06176811084151268,0.25,0.7175,50,3200,800,age_probe_at_layer_27.pth
age,reading,28,0.9725,0.9724999999999999,0.97259835822283,0.061875997111201286,0.25,0.7225,47,3200,800,age_probe_at_layer_28.pth
age,reading,29,0.975,0.975,0.9750542258282457,0.05897529888898134,0.25,0.725,49,3200,800,age_probe_at_layer_29.pth
age,reading,30,0.97375,0.97375,0.9738215281061089,0.06014713644981384,0.25,0.72375,49,3200,800,age_probe_at_layer_30.pth
age,reading,31,0.97375,0.97375,0.9738423067736046,0.055878535844385624,0.25,0.72375,49,3200,800,age_probe_at_layer_31.pth
age,reading,32,0.98625,0.98625,0.986271191092803,0.03848085459321737,0.25,0.73625,37,3200,800,age_probe_at_layer_32.pth
