attribute,channel,layer,validation_accuracy,best_epoch,train_examples,validation_examples,checkpoint
age,controlling,0,0.25,1,3200,800,age_probe_at_layer_0.pth
age,controlling,1,0.9225,40,3200,800,age_probe_at_layer_1.pth
age,controlling,2,0.93625,47,3200,800,age_probe_at_layer_2.pth
age,controlling,3,0.94875,46,3200,800,age_probe_at_layer_3.pth
age,controlling,4,0.94625,45,3200,800,age_probe_at_layer_4.pth
age,controlling,5,0.95375,44,3200,800,age_probe_at_layer_5.pth
age,controlling,6,0.95125,50,3200,800,age_probe_at_layer_6.pth
age,controlling,7,0.955,49,3200,800,age_probe_at_layer_7.pth
age,controlling,8,0.96125,47,3200,800,age_probe_at_layer_8.pth
age,controlling,9,0.96625,49,3200,800,age_probe_at_layer_9.pth
age,controlling,10,0.9725,42,3200,800,age_probe_at_layer_10.pth
age,controlling,11,0.96375,49,3200,800,age_probe_at_layer_11.pth
age,controlling,12,0.96625,39,3200,800,age_probe_at_layer_12.pth
age,controlling,13,0.96375,46,3200,800,age_probe_at_layer_13.pth
age,controlling,14,0.96,43,3200,800,age_probe_at_layer_14.pth
age,controlling,15,0.9625,49,3200,800,age_probe_at_layer_15.pth
age,controlling,16,0.95875,37,3200,800,age_probe_at_layer_16.pth
age,controlling,17,0.95875,47,3200,800,age_probe_at_layer_17.pth
age,controlling,18,0.95875,46,3200,800,age_probe_at_layer_18.pth
age,controlling,19,0.95125,43,3200,800,age_probe_at_layer_19.pth
age,controlling,20,0.96375,45,3200,800,age_probe_at_layer_20.pth
age,controlling,21,0.965,50,3200,800,age_probe_at_layer_21.pth
age,controlling,22,0.9575,38,3200,800,age_probe_at_layer_22.pth
age,controlling,23,0.9575,37,3200,800,age_probe_at_layer_23.pth
age,controlling,24,0.96125,23,3200,800,age_probe_at_layer_24.pth
age,controlling,25,0.96625,44,3200,800,age_probe_at_layer_25.pth
age,controlling,26,0.965,36,3200,800,age_probe_at_layer_26.pth
age,controlling,27,0.965,30,3200,800,age_probe_at_layer_27.pth
age,controlling,28,0.96875,43,3200,800,age_probe_at_layer_28.pth
