attribute,channel,layer,validation_accuracy,best_epoch,train_examples,validation_examples,checkpoint
education,controlling,0,0.3333333333333333,1,3599,900,education_probe_at_layer_0.pth
education,controlling,1,0.8788888888888889,33,3599,900,education_probe_at_layer_1.pth
education,controlling,2,0.8877777777777778,50,3599,900,education_probe_at_layer_2.pth
education,controlling,3,0.9066666666666666,43,3599,900,education_probe_at_layer_3.pth
education,controlling,4,0.9111111111111111,48,3599,900,education_probe_at_layer_4.pth
education,controlling,5,0.9133333333333333,48,3599,900,education_probe_at_layer_5.pth
education,controlling,6,0.9233333333333333,45,3599,900,education_probe_at_layer_6.pth
education,controlling,7,0.9233333333333333,50,3599,900,education_probe_at_layer_7.pth
education,controlling,8,0.94,45,3599,900,education_probe_at_layer_8.pth
education,controlling,9,0.94,41,3599,900,education_probe_at_layer_9.pth
education,controlling,10,0.9433333333333334,50,3599,900,education_probe_at_layer_10.pth
education,controlling,11,0.9355555555555556,39,3599,900,education_probe_at_layer_11.pth
education,controlling,12,0.9322222222222222,45,3599,900,education_probe_at_layer_12.pth
education,controlling,13,0.9333333333333333,40,3599,900,education_probe_at_layer_13.pth
education,controlling,14,0.9322222222222222,47,3599,900,education_probe_at_layer_14.pth
education,controlling,15,0.9377777777777778,49,3599,900,education_probe_at_layer_15.pth
education,controlling,16,0.9366666666666666,39,3599,900,education_probe_at_layer_16.pth
education,controlling,17,0.9422222222222222,48,3599,900,education_probe_at_layer_17.pth
education,controlling,18,0.9444444444444444,50,3599,900,education_probe_at_layer_18.pth
education,controlling,19,0.9311111111111111,49,3599,900,education_probe_at_layer_19.pth
education,controlling,20,0.9444444444444444,34,3599,900,education_probe_at_layer_20.pth
education,controlling,21,0.9366666666666666,31,3599,900,education_probe_at_layer_21.pth
education,controlling,22,0.9455555555555556,48,3599,900,education_probe_at_layer_22.pth
education,controlling,23,0.9377777777777778,46,3599,900,education_probe_at_layer_23.pth
education,controlling,24,0.9433333333333334,39,3599,900,education_probe_at_layer_24.pth
education,controlling,25,0.9366666666666666,47,3599,900,education_probe_at_layer_25.pth
education,controlling,26,0.9355555555555556,47,3599,900,education_probe_at_layer_26.pth
education,controlling,27,0.9344444444444444,41,3599,900,education_probe_at_layer_27.pth
education,controlling,28,0.9422222222222222,38,3599,900,education_probe_at_layer_28.pth
