attribute,channel,layer,validation_accuracy,best_epoch,train_examples,validation_examples,checkpoint
gender,controlling,0,0.5,1,1920,480,gender_probe_at_layer_0.pth
gender,controlling,1,0.7666666666666667,48,1920,480,gender_probe_at_layer_1.pth
gender,controlling,2,0.7770833333333333,44,1920,480,gender_probe_at_layer_2.pth
gender,controlling,3,0.78125,45,1920,480,gender_probe_at_layer_3.pth
gender,controlling,4,0.7958333333333333,44,1920,480,gender_probe_at_layer_4.pth
gender,controlling,5,0.79375,48,1920,480,gender_probe_at_layer_5.pth
gender,controlling,6,0.79375,46,1920,480,gender_probe_at_layer_6.pth
gender,controlling,7,0.8,50,1920,480,gender_probe_at_layer_7.pth
gender,controlling,8,0.8291666666666667,48,1920,480,gender_probe_at_layer_8.pth
gender,controlling,9,0.8520833333333333,49,1920,480,gender_probe_at_layer_9.pth
gender,controlling,10,0.83125,46,1920,480,gender_probe_at_layer_10.pth
gender,controlling,11,0.8041666666666667,44,1920,480,gender_probe_at_layer_11.pth
gender,controlling,12,0.8145833333333333,49,1920,480,gender_probe_at_layer_12.pth
gender,controlling,13,0.81875,47,1920,480,gender_probe_at_layer_13.pth
gender,controlling,14,0.825,49,1920,480,gender_probe_at_layer_14.pth
gender,controlling,15,0.8333333333333334,49,1920,480,gender_probe_at_layer_15.pth
gender,controlling,16,0.8354166666666667,43,1920,480,gender_probe_at_layer_16.pth
gender,controlling,17,0.8270833333333333,44,1920,480,gender_probe_at_layer_17.pth
gender,controlling,18,0.81875,46,1920,480,gender_probe_at_layer_18.pth
gender,controlling,19,0.80625,44,1920,480,gender_probe_at_layer_19.pth
gender,controlling,20,0.8854166666666666,45,1920,480,gender_probe_at_layer_20.pth
gender,controlling,21,0.8875,43,1920,480,gender_probe_at_layer_21.pth
gender,controlling,22,0.8875,45,1920,480,gender_probe_at_layer_22.pth
gender,controlling,23,0.9020833333333333,44,1920,480,gender_probe_at_layer_23.pth
gender,controlling,24,0.8958333333333334,42,1920,480,gender_probe_at_layer_24.pth
gender,controlling,25,0.9020833333333333,36,1920,480,gender_probe_at_layer_25.pth
gender,controlling,26,0.8895833333333333,45,1920,480,gender_probe_at_layer_26.pth
gender,controlling,27,0.8875,44,1920,480,gender_probe_at_layer_27.pth
gender,controlling,28,0.9020833333333333,16,1920,480,gender_probe_at_layer_28.pth
