attribute,channel,layer,validation_accuracy,best_epoch,train_examples,validation_examples,checkpoint
socioeconomic,controlling,0,0.3333333333333333,1,2400,600,socioeconomic_probe_at_layer_0.pth
socioeconomic,controlling,1,0.8916666666666667,47,2400,600,socioeconomic_probe_at_layer_1.pth
socioeconomic,controlling,2,0.8966666666666666,50,2400,600,socioeconomic_probe_at_layer_2.pth
socioeconomic,controlling,3,0.9033333333333333,48,2400,600,socioeconomic_probe_at_layer_3.pth
socioeconomic,controlling,4,0.9116666666666666,48,2400,600,socioeconomic_probe_at_layer_4.pth
socioeconomic,controlling,5,0.9066666666666666,48,2400,600,socioeconomic_probe_at_layer_5.pth
socioeconomic,controlling,6,0.905,47,2400,600,socioeconomic_probe_at_layer_6.pth
socioeconomic,controlling,7,0.905,42,2400,600,socioeconomic_probe_at_layer_7.pth
socioeconomic,controlling,8,0.925,46,2400,600,socioeconomic_probe_at_layer_8.pth
socioeconomic,controlling,9,0.9316666666666666,49,2400,600,socioeconomic_probe_at_layer_9.pth
socioeconomic,controlling,10,0.9216666666666666,47,2400,600,socioeconomic_probe_at_layer_10.pth
socioeconomic,controlling,11,0.9233333333333333,38,2400,600,socioeconomic_probe_at_layer_11.pth
socioeconomic,controlling,12,0.9133333333333333,43,2400,600,socioeconomic_probe_at_layer_12.pth
socioeconomic,controlling,13,0.9233333333333333,49,2400,600,socioeconomic_probe_at_layer_13.pth
socioeconomic,controlling,14,0.935,46,2400,600,socioeconomic_probe_at_layer_14.pth
socioeconomic,controlling,15,0.9466666666666667,49,2400,600,socioeconomic_probe_at_layer_15.pth
socioeconomic,controlling,16,0.9483333333333334,49,2400,600,socioeconomic_probe_at_layer_16.pth
socioeconomic,controlling,17,0.945,44,2400,600,socioeconomic_probe_at_layer_17.pth
socioeconomic,controlling,18,0.935,34,2400,600,socioeconomic_probe_at_layer_18.pth
socioeconomic,controlling,19,0.9383333333333334,44,2400,600,socioeconomic_probe_at_layer_19.pth
socioeconomic,controlling,20,0.9516666666666667,47,2400,600,socioeconomic_probe_at_layer_20.pth
socioeconomic,controlling,21,0.9533333333333334,48,2400,600,socioeconomic_probe_at_layer_21.pth
socioeconomic,controlling,22,0.955,38,2400,600,socioeconomic_probe_at_layer_22.pth
socioeconomic,controlling,23,0.955,35,2400,600,socioeconomic_probe_at_layer_23.pth
socioeconomic,controlling,24,0.9583333333333334,44,2400,600,socioeconomic_probe_at_layer_24.pth
socioeconomic,controlling,25,0.9483333333333334,30,2400,600,socioeconomic_probe_at_layer_25.pth
socioeconomic,controlling,26,0.9483333333333334,45,2400,600,socioeconomic_probe_at_layer_26.pth
socioeconomic,controlling,27,0.94,41,2400,600,socioeconomic_probe_at_layer_27.pth
socioeconomic,controlling,28,0.9516666666666667,30,2400,600,socioeconomic_probe_at_layer_28.pth
