attribute,channel,layer,validation_accuracy,best_epoch,train_examples,validation_examples,checkpoint
age,reading,0,0.25,1,3200,800,age_probe_at_layer_0.pth
age,reading,1,0.91125,49,3200,800,age_probe_at_layer_1.pth
age,reading,2,0.93125,49,3200,800,age_probe_at_layer_2.pth
age,reading,3,0.9425,48,3200,800,age_probe_at_layer_3.pth
age,reading,4,0.94375,43,3200,800,age_probe_at_layer_4.pth
age,reading,5,0.945,44,3200,800,age_probe_at_layer_5.pth
age,reading,6,0.95,44,3200,800,age_probe_at_layer_6.pth
age,reading,7,0.95125,50,3200,800,age_probe_at_layer_7.pth
age,reading,8,0.95375,47,3200,800,age_probe_at_layer_8.pth
age,reading,9,0.95875,45,3200,800,age_probe_at_layer_9.pth
age,reading,10,0.96875,45,3200,800,age_probe_at_layer_10.pth
age,reading,11,0.965,49,3200,800,age_probe_at_layer_11.pth
age,reading,12,0.97,50,3200,800,age_probe_at_layer_12.pth
age,reading,13,0.9725,47,3200,800,age_probe_at_layer_13.pth
age,reading,14,0.96875,46,3200,800,age_probe_at_layer_14.pth
age,reading,15,0.9725,45,3200,800,age_probe_at_layer_15.pth
age,reading,16,0.97375,50,3200,800,age_probe_at_layer_16.pth
age,reading,17,0.97375,32,3200,800,age_probe_at_layer_17.pth
age,reading,18,0.97125,46,3200,800,age_probe_at_layer_18.pth
age,reading,19,0.96125,41,3200,800,age_probe_at_layer_19.pth
age,reading,20,0.96375,41,3200,800,age_probe_at_layer_20.pth
age,reading,21,0.9625,49,3200,800,age_probe_at_layer_21.pth
age,reading,22,0.955,36,3200,800,age_probe_at_layer_22.pth
age,reading,23,0.96125,39,3200,800,age_probe_at_layer_23.pth
age,reading,24,0.955,50,3200,800,age_probe_at_layer_24.pth
age,reading,25,0.95875,43,3200,800,age_probe_at_layer_25.pth
age,reading,26,0.9625,42,3200,800,age_probe_at_layer_26.pth
age,reading,27,0.96125,24,3200,800,age_probe_at_layer_27.pth
age,reading,28,0.95875,24,3200,800,age_probe_at_layer_28.pth
