attribute,channel,layer,validation_accuracy,best_epoch,train_examples,validation_examples,checkpoint
education,reading,0,0.3333333333333333,1,3599,900,education_probe_at_layer_0.pth
education,reading,1,0.8666666666666667,44,3599,900,education_probe_at_layer_1.pth
education,reading,2,0.8744444444444445,39,3599,900,education_probe_at_layer_2.pth
education,reading,3,0.8955555555555555,47,3599,900,education_probe_at_layer_3.pth
education,reading,4,0.8966666666666666,49,3599,900,education_probe_at_layer_4.pth
education,reading,5,0.9088888888888889,46,3599,900,education_probe_at_layer_5.pth
education,reading,6,0.9177777777777778,43,3599,900,education_probe_at_layer_6.pth
education,reading,7,0.9155555555555556,48,3599,900,education_probe_at_layer_7.pth
education,reading,8,0.9177777777777778,49,3599,900,education_probe_at_layer_8.pth
education,reading,9,0.9266666666666666,50,3599,900,education_probe_at_layer_9.pth
education,reading,10,0.94,49,3599,900,education_probe_at_layer_10.pth
education,reading,11,0.9422222222222222,37,3599,900,education_probe_at_layer_11.pth
education,reading,12,0.9488888888888889,48,3599,900,education_probe_at_layer_12.pth
education,reading,13,0.9588888888888889,44,3599,900,education_probe_at_layer_13.pth
education,reading,14,0.9533333333333334,47,3599,900,education_probe_at_layer_14.pth
education,reading,15,0.9633333333333334,48,3599,900,education_probe_at_layer_15.pth
education,reading,16,0.9611111111111111,48,3599,900,education_probe_at_layer_16.pth
education,reading,17,0.9633333333333334,45,3599,900,education_probe_at_layer_17.pth
education,reading,18,0.9633333333333334,49,3599,900,education_probe_at_layer_18.pth
education,reading,19,0.9622222222222222,43,3599,900,education_probe_at_layer_19.pth
education,reading,20,0.9644444444444444,47,3599,900,education_probe_at_layer_20.pth
education,reading,21,0.9622222222222222,48,3599,900,education_probe_at_layer_21.pth
education,reading,22,0.9644444444444444,48,3599,900,education_probe_at_layer_22.pth
education,reading,23,0.9655555555555555,44,3599,900,education_probe_at_layer_23.pth
education,reading,24,0.9644444444444444,47,3599,900,education_probe_at_layer_24.pth
education,reading,25,0.9633333333333334,48,3599,900,education_probe_at_layer_25.pth
education,reading,26,0.9655555555555555,50,3599,900,education_probe_at_layer_26.pth
education,reading,27,0.9622222222222222,44,3599,900,education_probe_at_layer_27.pth
education,reading,28,0.9611111111111111,37,3599,900,education_probe_at_layer_28.pth
