attribute,channel,layer,validation_accuracy,best_epoch,train_examples,validation_examples,checkpoint
gender,reading,0,0.5,1,1920,480,gender_probe_at_layer_0.pth
gender,reading,1,0.74375,50,1920,480,gender_probe_at_layer_1.pth
gender,reading,2,0.7541666666666667,50,1920,480,gender_probe_at_layer_2.pth
gender,reading,3,0.7791666666666667,47,1920,480,gender_probe_at_layer_3.pth
gender,reading,4,0.7875,42,1920,480,gender_probe_at_layer_4.pth
gender,reading,5,0.78125,47,1920,480,gender_probe_at_layer_5.pth
gender,reading,6,0.7875,43,1920,480,gender_probe_at_layer_6.pth
gender,reading,7,0.8104166666666667,46,1920,480,gender_probe_at_layer_7.pth
gender,reading,8,0.7958333333333333,50,1920,480,gender_probe_at_layer_8.pth
gender,reading,9,0.8416666666666667,48,1920,480,gender_probe_at_layer_9.pth
gender,reading,10,0.88125,50,1920,480,gender_probe_at_layer_10.pth
gender,reading,11,0.8708333333333333,47,1920,480,gender_probe_at_layer_11.pth
gender,reading,12,0.8645833333333334,45,1920,480,gender_probe_at_layer_12.pth
gender,reading,13,0.8666666666666667,46,1920,480,gender_probe_at_layer_13.pth
gender,reading,14,0.8666666666666667,45,1920,480,gender_probe_at_layer_14.pth
gender,reading,15,0.8729166666666667,48,1920,480,gender_probe_at_layer_15.pth
gender,reading,16,0.8791666666666667,49,1920,480,gender_probe_at_layer_16.pth
gender,reading,17,0.86875,46,1920,480,gender_probe_at_layer_17.pth
gender,reading,18,0.8645833333333334,35,1920,480,gender_probe_at_layer_18.pth
gender,reading,19,0.8645833333333334,39,1920,480,gender_probe_at_layer_19.pth
gender,reading,20,0.8729166666666667,42,1920,480,gender_probe_at_layer_20.pth
gender,reading,21,0.8833333333333333,40,1920,480,gender_probe_at_layer_21.pth
gender,reading,22,0.88125,42,1920,480,gender_probe_at_layer_22.pth
gender,reading,23,0.8958333333333334,34,1920,480,gender_probe_at_layer_23.pth
gender,reading,24,0.9083333333333333,43,1920,480,gender_probe_at_layer_24.pth
gender,reading,25,0.9083333333333333,32,1920,480,gender_probe_at_layer_25.pth
gender,reading,26,0.9145833333333333,42,1920,480,gender_probe_at_layer_26.pth
gender,reading,27,0.9145833333333333,19,1920,480,gender_probe_at_layer_27.pth
gender,reading,28,0.9166666666666666,37,1920,480,gender_probe_at_layer_28.pth
