attribute,channel,layer,validation_accuracy,best_epoch,train_examples,validation_examples,checkpoint
socioeconomic,reading,0,0.3333333333333333,1,2400,600,socioeconomic_probe_at_layer_0.pth
socioeconomic,reading,1,0.8616666666666667,45,2400,600,socioeconomic_probe_at_layer_1.pth
socioeconomic,reading,2,0.8766666666666667,48,2400,600,socioeconomic_probe_at_layer_2.pth
socioeconomic,reading,3,0.8816666666666667,48,2400,600,socioeconomic_probe_at_layer_3.pth
socioeconomic,reading,4,0.8883333333333333,42,2400,600,socioeconomic_probe_at_layer_4.pth
socioeconomic,reading,5,0.9016666666666666,50,2400,600,socioeconomic_probe_at_layer_5.pth
socioeconomic,reading,6,0.8966666666666666,48,2400,600,socioeconomic_probe_at_layer_6.pth
socioeconomic,reading,7,0.9033333333333333,46,2400,600,socioeconomic_probe_at_layer_7.pth
socioeconomic,reading,8,0.92,48,2400,600,socioeconomic_probe_at_layer_8.pth
socioeconomic,reading,9,0.9233333333333333,42,2400,600,socioeconomic_probe_at_layer_9.pth
socioeconomic,reading,10,0.935,47,2400,600,socioeconomic_probe_at_layer_10.pth
socioeconomic,reading,11,0.9333333333333333,45,2400,600,socioeconomic_probe_at_layer_11.pth
socioeconomic,reading,12,0.9366666666666666,50,2400,600,socioeconomic_probe_at_layer_12.pth
socioeconomic,reading,13,0.9483333333333334,39,2400,600,socioeconomic_probe_at_layer_13.pth
socioeconomic,reading,14,0.9533333333333334,48,2400,600,socioeconomic_probe_at_layer_14.pth
socioeconomic,reading,15,0.9633333333333334,30,2400,600,socioeconomic_probe_at_layer_15.pth
socioeconomic,reading,16,0.965,44,2400,600,socioeconomic_probe_at_layer_16.pth
socioeconomic,reading,17,0.965,26,2400,600,socioeconomic_probe_at_layer_17.pth
socioeconomic,reading,18,0.9616666666666667,24,2400,600,socioeconomic_probe_at_layer_18.pth
socioeconomic,reading,19,0.9583333333333334,11,2400,600,socioeconomic_probe_at_layer_19.pth
socioeconomic,reading,20,0.9683333333333334,21,2400,600,socioeconomic_probe_at_layer_20.pth
socioeconomic,reading,21,0.9683333333333334,10,2400,600,socioeconomic_probe_at_layer_21.pth
socioeconomic,reading,22,0.9616666666666667,31,2400,600,socioeconomic_probe_at_layer_22.pth
socioeconomic,reading,23,0.9683333333333334,37,2400,600,socioeconomic_probe_at_layer_23.pth
socioeconomic,reading,24,0.9683333333333334,14,2400,600,socioeconomic_probe_at_layer_24.pth
socioeconomic,reading,25,0.9633333333333334,5,2400,600,socioeconomic_probe_at_layer_25.pth
socioeconomic,reading,26,0.9616666666666667,41,2400,600,socioeconomic_probe_at_layer_26.pth
socioeconomic,reading,27,0.9616666666666667,20,2400,600,socioeconomic_probe_at_layer_27.pth
socioeconomic,reading,28,0.9633333333333334,7,2400,600,socioeconomic_probe_at_layer_28.pth
