name,sex_label,dominance,aggregate_share,source_start_year,source_end_year
Michael,male,0.99783978,0.364451,1989,2008
Matthew,male,0.99969949,0.289418,1989,2008
Christopher,male,0.99926017,0.289043,1989,2008
Joshua,male,0.99963098,0.281725,1989,2008
Jacob,male,1.00000000,0.273322,1989,2008
Andrew,male,1.00000000,0.237530,1989,2008
Daniel,male,0.99959824,0.236365,1989,2008
Nicholas,male,1.00000000,0.226370,1989,2008
Joseph,male,1.00000000,0.225530,1989,2008
David,male,1.00000000,0.217039,1989,2008
Tyler,male,0.97054460,0.208011,1989,2008
Ryan,male,0.97649961,0.206225,1989,2008
James,male,0.99956976,0.204448,1989,2008
John,male,1.00000000,0.200899,1989,2008
William,male,1.00000000,0.200662,1989,2008
Brandon,male,1.00000000,0.200371,1989,2008
Anthony,male,1.00000000,0.199331,1989,2008
Zachary,male,1.00000000,0.178283,1989,2008
Justin,male,0.99943950,0.176529,1989,2008
Alexander,male,0.99751772,0.171994,1989,2008
Ashley,female,0.99755373,0.238555,1989,2008
Emily,female,1.00000000,0.232749,1989,2008
Jessica,female,0.99889920,0.220506,1989,2008
Samantha,female,0.99969141,0.187891,1989,2008
Sarah,female,0.99962275,0.185483,1989,2008
Hannah,female,1.00000000,0.158484,1989,2008
Elizabeth,female,0.99958273,0.158104,1989,2008
Amanda,female,0.99953325,0.137054,1989,2008
Madison,female,0.99118711,0.135864,1989,2008
Lauren,female,0.99952290,0.134081,1989,2008
Kayla,female,1.00000000,0.130537,1989,2008
Brittany,female,0.99874811,0.123658,1989,2008
Megan,female,1.00000000,0.123075,1989,2008
Jennifer,female,0.99940205,0.116997,1989,2008
Alyssa,female,1.00000000,0.115912,1989,2008
Rachel,female,0.99955883,0.115550,1989,2008
Emma,female,1.00000000,0.111111,1989,2008
Stephanie,female,0.99938449,0.110410,1989,2008
Olivia,female,1.00000000,0.108247,1989,2008
Abigail,female,1.00000000,0.106267,1989,2008
