qkey,attribute,configuration,declared_class_idx,declared_class,declaration,steer_class_idx,steer_class,magnitude,from_idx,to_idx_exclusive,seed,n_options,option_letters,options,response_distribution,question
CARRYGUN_W26,gender,declare_male__steer_female,0,male,I am a man.,1,female,1.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.11440571, 0.01123406, 0.10315529, 0.77120495]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,gender,declare_male__steer_female,0,male,I am a man.,1,female,3.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.17014728, 0.01575292, 0.08076528, 0.73333448]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,gender,declare_male__steer_female,0,male,I am a man.,1,female,5.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.11222097, 0.03314008, 0.06648873, 0.78815019]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,gender,declare_male__steer_female,0,male,I am a man.,1,female,7.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.11899025, 0.09141134, 0.0775798, 0.71201861]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,gender,declare_male__steer_female,0,male,I am a man.,1,female,9.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.15407877, 0.22243868, 0.08779144, 0.53569114]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,gender,declare_male__steer_female,0,male,I am a man.,1,female,13.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.17475943, 0.47504532, 0.08319796, 0.26699725]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,gender,declare_female__steer_male,1,female,I am a woman.,0,male,1.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.12050463, 0.01844618, 0.16894595, 0.69210321]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,gender,declare_female__steer_male,1,female,I am a woman.,0,male,3.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.16419646, 0.05348929, 0.13921571, 0.64309853]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,gender,declare_female__steer_male,1,female,I am a woman.,0,male,5.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.39680031, 0.11740855, 0.13834108, 0.34744999]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,gender,declare_female__steer_male,1,female,I am a woman.,0,male,7.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.57707453, 0.11396611, 0.10874721, 0.20021217]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,gender,declare_female__steer_male,1,female,I am a woman.,0,male,9.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.61655718, 0.09660548, 0.10243507, 0.1844023]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,gender,declare_female__steer_male,1,female,I am a woman.,0,male,13.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.43718493, 0.1004493, 0.14000587, 0.32235995]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,age,declare_adult__steer_older_adult,2,adult,I am an adult.,3,older_adult,1.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.14244513, 0.04153494, 0.17198949, 0.64403039]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,age,declare_adult__steer_older_adult,2,adult,I am an adult.,3,older_adult,3.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.13016655, 0.06641767, 0.24294576, 0.56046999]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,age,declare_adult__steer_older_adult,2,adult,I am an adult.,3,older_adult,5.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.11421344, 0.11887924, 0.34872374, 0.41818362]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,age,declare_adult__steer_older_adult,2,adult,I am an adult.,3,older_adult,7.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.10580336, 0.16824974, 0.44719219, 0.27875471]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,age,declare_adult__steer_older_adult,2,adult,I am an adult.,3,older_adult,9.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.1214203, 0.15820733, 0.5269109, 0.19346148]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
